"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,1446324,1446441,118,993.2,532.3,"1001.jpg",1446244,FALSE,1
1,1446581,1446852,272,1027.1,611.2,"1001.jpg",1446244,FALSE,2
1,1446896,1447113,218,868.6,405,"1001.jpg",1446244,FALSE,3
1,1447155,1447359,205,720.3,414.6,"1001.jpg",1446244,FALSE,4
1,1447412,1447892,481,875.2,292,"1001.jpg",1446244,FALSE,5
1,1448031,1448288,258,1406.7,380.6,"1001.jpg",1446244,FALSE,6
1,1448324,1448562,239,1486.2,358.8,"1001.jpg",1446244,FALSE,7
1,1448631,1448877,247,1392.7,777.2,"1001.jpg",1446244,FALSE,8
1,1448920,1449114,195,1328.3,868.8,"1001.jpg",1446244,FALSE,9
1,1449142,1449343,202,1313.5,894.9,"1001.jpg",1446244,FALSE,10
2,1452046,1452154,109,998.5,528.8,"1006.jpg",1451844,FALSE,1
2,1452201,1452345,145,799.4,590.3,"1006.jpg",1451844,FALSE,2
2,1452371,1452745,375,789.4,543.2,"1006.jpg",1451844,FALSE,3
2,1452757,1452888,132,786.3,527.5,"1006.jpg",1451844,FALSE,4
2,1452939,1453343,405,623.2,669,"1006.jpg",1451844,FALSE,5
2,1453373,1453529,157,697.8,635.3,"1006.jpg",1451844,FALSE,6
2,1453652,1453759,108,841.8,429.8,"1006.jpg",1451844,FALSE,7
2,1453827,1453980,154,1106,268.2,"1006.jpg",1451844,FALSE,8
2,1454014,1454215,202,1172.9,224.7,"1006.jpg",1451844,FALSE,9
2,1454283,1454527,245,1351.6,529.9,"1006.jpg",1451844,FALSE,10
2,1454582,1454818,237,1335.1,677.1,"1006.jpg",1451844,FALSE,11
3,1457639,1457742,104,975.1,535.9,"1094.jpg",1457453,FALSE,1
3,1457787,1458187,401,890.6,625.4,"1094.jpg",1457453,FALSE,2
3,1458259,1458571,313,896.8,319.5,"1094.jpg",1457453,FALSE,3
3,1458596,1459060,465,893.2,317,"1094.jpg",1457453,FALSE,4
3,1459089,1459324,236,873,311.4,"1094.jpg",1457453,FALSE,5
3,1459391,1459522,132,1195.9,279.6,"1094.jpg",1457453,FALSE,6
3,1459557,1459747,191,1285,225.3,"1094.jpg",1457453,FALSE,7
3,1459770,1460024,255,1318.8,203.1,"1094.jpg",1457453,FALSE,8
3,1460062,1460204,143,1398.1,227.2,"1094.jpg",1457453,FALSE,9
4,1463223,1463346,124,787.3,377.5,"1101.jpg",1462877,FALSE,1
4,1463384,1463898,515,780.9,300.7,"1101.jpg",1462877,FALSE,2
4,1463971,1464158,188,1282.5,266.4,"1101.jpg",1462877,FALSE,3
4,1464189,1464604,416,1294.6,243,"1101.jpg",1462877,FALSE,4
4,1464667,1464958,292,1266.7,500.3,"1101.jpg",1462877,FALSE,5
4,1465404,1465631,228,810.2,245.6,"1101.jpg",1462877,FALSE,6
4,1465664,1465976,313,777.6,292.4,"1101.jpg",1462877,FALSE,7
5,1469007,1469114,108,979.4,547.8,"1112.jpg",1469044,FALSE,1
5,1469225,1469331,107,1065.4,395.2,"1112.jpg",1469044,FALSE,2
5,1469370,1469566,197,1097.6,208.8,"1112.jpg",1469044,FALSE,3
5,1469612,1469900,289,1006.2,307,"1112.jpg",1469044,FALSE,4
5,1469928,1470079,152,999.9,347.2,"1112.jpg",1469044,FALSE,5
5,1470142,1470422,281,1115.7,508.4,"1112.jpg",1469044,FALSE,6
5,1470492,1470731,240,1260.4,674.7,"1112.jpg",1469044,FALSE,7
