"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,194382,194796,415,985.4,563,"1001.jpg",194328,FALSE,1
1,194805,195256,452,936.9,582.5,"1001.jpg",194328,FALSE,2
1,195280,195468,189,919.6,510.6,"1001.jpg",194328,FALSE,3
1,195510,196037,528,861.1,309.9,"1001.jpg",194328,FALSE,4
1,196094,196521,428,637.8,434.5,"1001.jpg",194328,FALSE,5
1,196585,196840,256,935.4,802,"1001.jpg",194328,FALSE,6
1,196866,197427,562,951,807.1,"1001.jpg",194328,FALSE,7
2,200392,200508,117,928.4,514.8,"1006.jpg",200144,FALSE,1
2,200546,200910,365,794.6,527.6,"1006.jpg",200144,FALSE,2
2,200951,201138,188,661.9,654.7,"1006.jpg",200144,FALSE,3
2,201175,201544,370,586.1,708.9,"1006.jpg",200144,FALSE,4
2,201579,201704,126,644.8,736.3,"1006.jpg",200144,FALSE,5
2,201758,201911,154,1195.8,769,"1006.jpg",200144,FALSE,6
2,201949,202122,174,1306,791.5,"1006.jpg",200144,FALSE,7
2,202152,202542,391,1333.5,796.3,"1006.jpg",200144,FALSE,8
2,202574,202800,227,1352.8,848.6,"1006.jpg",200144,FALSE,9
2,202821,202993,173,1350.5,804.2,"1006.jpg",200144,FALSE,10
2,203021,203243,223,1340.7,782.9,"1006.jpg",200144,FALSE,11
3,204982,205151,170,968.4,556.4,"1094.jpg",204903,FALSE,1
3,205190,205407,218,874.1,385.3,"1094.jpg",204903,FALSE,2
3,205417,205660,244,885.7,380.7,"1094.jpg",204903,FALSE,3
3,205676,205862,187,906.4,376.4,"1094.jpg",204903,FALSE,4
3,205904,206100,197,1049.9,478.3,"1094.jpg",204903,FALSE,5
3,206150,206359,210,1013.3,611.5,"1094.jpg",204903,FALSE,6
3,206410,206584,175,901.2,670.5,"1094.jpg",204903,FALSE,7
3,206614,206809,196,919.5,725.3,"1094.jpg",204903,FALSE,8
3,206828,206941,114,900.4,737.8,"1094.jpg",204903,FALSE,9
3,206966,207130,165,871.1,671.7,"1094.jpg",204903,FALSE,10
3,207210,207389,180,1256.8,330.3,"1094.jpg",204903,FALSE,11
3,207418,207753,336,1281.1,291.6,"1094.jpg",204903,FALSE,12
3,207794,208002,209,1411.1,380.2,"1094.jpg",204903,FALSE,13
4,209552,209772,221,874.4,530.7,"1101.jpg",209311,FALSE,1
4,209816,210386,571,757.8,350.8,"1101.jpg",209311,FALSE,2
4,210454,210947,494,1277.7,306.5,"1101.jpg",209311,FALSE,3
4,210979,211174,196,1305.5,406.8,"1101.jpg",209311,FALSE,4
4,211218,211465,248,1281.1,511.8,"1101.jpg",209311,FALSE,5
4,211515,211660,146,1234.6,632.5,"1101.jpg",209311,FALSE,6
