"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,326822,327047,226,846.4,632.5,"1001.jpg",325790,FALSE,1
1,327113,327471,359,554.1,807.6,"1001.jpg",325790,FALSE,2
1,327555,327841,287,1369.9,802.6,"1001.jpg",325790,FALSE,3
1,327950,328157,208,1225.9,515.3,"1001.jpg",325790,FALSE,4
1,328184,328404,221,1088.1,504.5,"1001.jpg",325790,FALSE,5
1,328447,328697,251,817.7,363.9,"1001.jpg",325790,FALSE,6
1,328732,328889,158,677.8,389.8,"1001.jpg",325790,FALSE,7
2,331032,331238,207,844.5,450.4,"1006.jpg",330698,FALSE,1
2,331262,331647,386,780.8,503.6,"1006.jpg",330698,FALSE,2
2,331674,331981,308,781.8,562.2,"1006.jpg",330698,FALSE,3
2,332005,332180,176,709.7,607,"1006.jpg",330698,FALSE,4
2,332251,332574,324,1342.1,708.1,"1006.jpg",330698,FALSE,5
2,332619,332727,109,1321.8,526.8,"1006.jpg",330698,FALSE,6
2,332784,333087,304,1083.6,233.5,"1006.jpg",330698,FALSE,7
2,333143,333497,355,843.5,423.9,"1006.jpg",330698,FALSE,8
2,333517,333797,281,823.1,464.4,"1006.jpg",330698,FALSE,9
3,336117,336565,449,864.1,373.8,"1094.jpg",335856,FALSE,1
3,336637,337118,482,894.8,683.2,"1094.jpg",335856,FALSE,2
3,337133,338025,893,856.6,666.2,"1094.jpg",335856,FALSE,3
3,338046,338240,195,910.8,633.7,"1094.jpg",335856,FALSE,4
3,338314,338729,416,859.4,380.4,"1094.jpg",335856,FALSE,5
3,338745,338955,211,881.7,349.6,"1094.jpg",335856,FALSE,6
4,340571,340735,165,810.8,336.2,"1101.jpg",340298,FALSE,1
4,340752,340950,199,770.2,298.7,"1101.jpg",340298,FALSE,2
4,341034,341420,387,1312.8,254.4,"1101.jpg",340298,FALSE,3
4,341537,341738,202,1218.6,491.6,"1101.jpg",340298,FALSE,4
4,341803,341970,168,781.8,382.9,"1101.jpg",340298,FALSE,5
4,342110,342914,805,470.2,345.2,"1101.jpg",340298,FALSE,6
4,342976,343347,372,676.7,674,"1101.jpg",340298,FALSE,7
5,344908,345134,227,1301.1,734.3,"1112.jpg",344573,FALSE,1
5,345147,345457,311,1269.4,724.4,"1112.jpg",344573,FALSE,2
5,345469,345745,277,1243.8,704,"1112.jpg",344573,FALSE,3
5,345819,345946,128,576,793.6,"1112.jpg",344573,FALSE,4
5,346143,346285,143,1044.7,238.1,"1112.jpg",344573,FALSE,5
5,346307,346780,474,1089.8,203.8,"1112.jpg",344573,FALSE,6
5,346967,347121,155,1166.9,671,"1112.jpg",344573,FALSE,7
5,347172,347304,133,1567.9,626.3,"1112.jpg",344573,FALSE,8
5,347344,347508,165,1506.3,348.5,"1112.jpg",344573,FALSE,9
5,347532,347672,141,1502.6,249.7,"1112.jpg",344573,FALSE,10
6,349062,349387,326,708.3,631.2,"1118.jpg",348673,FALSE,1
6,349411,349637,227,606.2,644.4,"1118.jpg",348673,FALSE,2
6,349680,349809,130,537.2,774,"1118.jpg",348673,FALSE,3
6,349880,350099,220,1253.9,744.4,"1118.jpg",348673,FALSE,4
6,350162,350593,432,1313.7,469.7,"1118.jpg",348673,FALSE,5
6,350652,350821,170,873.6,426.2,"1118.jpg",348673,FALSE,6
6,350884,351427,544,1419,263.1,"1118.jpg",348673,FALSE,7
6,351501,351693,193,1144.2,836.7,"1118.jpg",348673,FALSE,8
7,355545,355935,391,1144,349.5,"1132.jpg",355323,FALSE,1
7,355949,356174,226,1153.2,369.4,"1132.jpg",355323,FALSE,2
7,356251,356700,450,605,355,"1132.jpg",355323,FALSE,3
7,356711,357230,520,598.1,337.1,"1132.jpg",355323,FALSE,4
7,357300,358068,769,1159.7,347.2,"1132.jpg",355323,FALSE,5
7,358087,358422,336,1196.7,358.4,"1132.jpg",355323,FALSE,6
8,360531,361068,538,1122.7,382.8,"1178.jpg",360315,FALSE,1
8,361084,361259,176,1153.8,389.4,"1178.jpg",360315,FALSE,2
8,361277,361435,159,1113.7,379,"1178.jpg",360315,FALSE,3
8,361513,361738,226,525.6,760.4,"1178.jpg",360315,FALSE,4
8,361761,361927,167,474.9,794,"1178.jpg",360315,FALSE,5
8,361968,362090,123,661,813.2,"1178.jpg",360315,FALSE,6
8,362172,362392,221,1417.4,810.1,"1178.jpg",360315,FALSE,7
8,362458,362756,299,1408.4,398.4,"1178.jpg",360315,FALSE,8
8,362836,363107,272,699.1,404.8,"1178.jpg",360315,FALSE,9
8,363171,363413,243,1154,382.9,"1178.jpg",360315,FALSE,10
9,367103,367303,201,702.6,475.4,"1188.jpg",366848,FALSE,1
9,367312,367579,268,688.1,466.6,"1188.jpg",366848,FALSE,2
9,367652,367914,263,1302.2,486.2,"1188.jpg",366848,FALSE,3
9,367959,368273,315,1043,241.9,"1188.jpg",366848,FALSE,4
9,368295,368406,112,1095.3,232,"1188.jpg",366848,FALSE,5
9,368466,368607,142,1109.3,615.6,"1188.jpg",366848,FALSE,6
9,368625,368754,130,1077.3,601.2,"1188.jpg",366848,FALSE,7
9,368772,369132,361,1108.5,584.9,"1188.jpg",366848,FALSE,8
9,369157,369421,265,1032.6,588.3,"1188.jpg",366848,FALSE,9
9,369464,369649,186,1303.3,518.7,"1188.jpg",366848,FALSE,10
9,369659,369947,289,1295.3,502.4,"1188.jpg",366848,FALSE,11
10,371902,372225,324,895.8,548.7,"1226.jpg",371573,FALSE,1
10,372235,372606,372,908.9,549.9,"1226.jpg",371573,FALSE,2
10,372641,372812,172,749.3,492.9,"1226.jpg",371573,FALSE,3
10,372823,373184,362,772.1,488.7,"1226.jpg",371573,FALSE,4
10,373220,373527,308,912.9,555.1,"1226.jpg",371573,FALSE,5
10,373573,373826,254,970.4,723.4,"1226.jpg",371573,FALSE,6
10,373843,374046,204,958,690.7,"1226.jpg",371573,FALSE,7
10,374113,374276,164,1430.3,672.1,"1226.jpg",371573,FALSE,8
10,374288,374672,385,1403.8,664.3,"1226.jpg",371573,FALSE,9
11,375997,377736,1740,754.1,396.2,"1227.jpg",375814,FALSE,1
11,377780,378075,296,808.1,556.3,"1227.jpg",375814,FALSE,2
11,378093,378477,385,800.7,491.6,"1227.jpg",375814,FALSE,3
11,378499,378862,364,742.7,453.6,"1227.jpg",375814,FALSE,4
12,383001,383109,109,892.2,298.4,"1233.jpg",382790,FALSE,1
12,383133,383986,854,873.3,230.3,"1233.jpg",382790,FALSE,2
12,384041,384661,621,884.9,496.6,"1233.jpg",382790,FALSE,3
12,384845,385055,211,1246.8,528.6,"1233.jpg",382790,FALSE,4
12,385077,385198,122,1188.5,488.4,"1233.jpg",382790,FALSE,5
12,385282,385490,209,440.1,452.7,"1233.jpg",382790,FALSE,6
12,385506,385889,384,430.3,409.4,"1233.jpg",382790,FALSE,7
13,387719,387966,248,978.4,406.6,"1265.jpg",387456,FALSE,1
13,387994,388250,257,1033.9,264.8,"1265.jpg",387456,FALSE,2
13,388271,388486,216,1106.4,246,"1265.jpg",387456,FALSE,3
13,388581,388875,295,781.9,883.9,"1265.jpg",387456,FALSE,4
13,388895,389298,404,814.2,872.8,"1265.jpg",387456,FALSE,5
13,389369,389483,115,1049.5,346.4,"1265.jpg",387456,FALSE,6
13,389505,389638,134,1052.5,284,"1265.jpg",387456,FALSE,7
13,389651,389845,195,1032.2,266.5,"1265.jpg",387456,FALSE,8
13,389872,390091,220,1122.2,248.1,"1265.jpg",387456,FALSE,9
13,390137,390319,183,1015.7,445,"1265.jpg",387456,FALSE,10
13,390451,390555,105,588.1,258.5,"1265.jpg",387456,FALSE,11
14,392627,392762,136,852.5,314.4,"1277.jpg",392406,FALSE,1
14,392779,393413,635,827.9,271.5,"1277.jpg",392406,FALSE,2
14,393491,393673,183,992.2,719.1,"1277.jpg",392406,FALSE,3
14,393691,394049,359,950.4,710.7,"1277.jpg",392406,FALSE,4
14,394074,394432,359,894,584.3,"1277.jpg",392406,FALSE,5
14,394535,394826,292,686,482,"1277.jpg",392406,FALSE,6
14,394882,395210,329,982.6,711.3,"1277.jpg",392406,FALSE,7
14,395226,395505,280,949.8,708,"1277.jpg",392406,FALSE,8
15,397097,397255,159,985.8,546.9,"1287.jpg",397089,FALSE,1
15,397285,397550,266,1057.1,389,"1287.jpg",397089,FALSE,2
15,397565,397849,285,1059.6,352.2,"1287.jpg",397089,FALSE,3
15,397867,398421,555,1109.2,341.3,"1287.jpg",397089,FALSE,4
15,398440,398572,133,1081.1,366.4,"1287.jpg",397089,FALSE,5
15,398653,398840,188,1264.9,765.4,"1287.jpg",397089,FALSE,6
15,398862,399032,171,1305.7,683.6,"1287.jpg",397089,FALSE,7
15,399074,399329,256,1181.9,797.9,"1287.jpg",397089,FALSE,8
15,399389,399615,227,659.4,664.9,"1287.jpg",397089,FALSE,9
15,399645,399771,127,779.9,665.5,"1287.jpg",397089,FALSE,10
15,399819,400098,280,1068.6,399.8,"1287.jpg",397089,FALSE,11
16,401566,401841,276,795.4,481.7,"1296.jpg",401264,FALSE,1
16,401879,402193,315,954.5,342.2,"1296.jpg",401264,FALSE,2
16,402255,402460,206,1281.5,365.5,"1296.jpg",401264,FALSE,3
16,402474,402874,401,1256.3,358.3,"1296.jpg",401264,FALSE,4
16,402940,403133,194,1199.5,700.3,"1296.jpg",401264,FALSE,5
16,403156,403438,283,1111.8,731.1,"1296.jpg",401264,FALSE,6
16,403480,403705,226,1345.9,579,"1296.jpg",401264,FALSE,7
16,403764,404089,326,882.2,435.4,"1296.jpg",401264,FALSE,8
16,404115,404363,249,796.5,493.6,"1296.jpg",401264,FALSE,9
17,405506,405812,307,1097.3,486.3,"1335.jpg",405314,FALSE,1
17,405826,405939,114,1069.1,479.3,"1335.jpg",405314,FALSE,2
17,405981,406251,271,813.3,369.6,"1335.jpg",405314,FALSE,3
17,406265,406527,263,795.5,345,"1335.jpg",405314,FALSE,4
17,406627,406903,277,781,362.7,"1335.jpg",405314,FALSE,5
17,406962,407474,513,1093.2,470,"1335.jpg",405314,FALSE,6
17,407552,407813,262,1117.6,840,"1335.jpg",405314,FALSE,7
17,407857,408351,495,834.4,818.3,"1335.jpg",405314,FALSE,8
18,410291,410592,302,780.5,626.4,"1391.jpg",410006,FALSE,1
18,410654,410902,249,1189.5,765.9,"1391.jpg",410006,FALSE,2
18,410916,411155,240,1174.2,788.9,"1391.jpg",410006,FALSE,3
18,411168,411339,172,1165.2,808.5,"1391.jpg",410006,FALSE,4
18,411362,411517,156,1217.3,852,"1391.jpg",410006,FALSE,5
18,411635,411961,327,1219.1,787.2,"1391.jpg",410006,FALSE,6
18,411984,412188,205,1148,807,"1391.jpg",410006,FALSE,7
18,412260,412527,268,1020,331.2,"1391.jpg",410006,FALSE,8
18,412593,412970,378,500.9,230.5,"1391.jpg",410006,FALSE,9
19,414585,414715,131,1291.7,185.4,"1420.jpg",414156,FALSE,1
19,414729,415033,305,1283,150.8,"1420.jpg",414156,FALSE,2
19,415088,415283,196,1302.4,490,"1420.jpg",414156,FALSE,3
19,415361,415585,225,666.6,454.7,"1420.jpg",414156,FALSE,4
19,415602,415867,266,658.8,402.5,"1420.jpg",414156,FALSE,5
19,415905,416176,272,707.8,184.1,"1420.jpg",414156,FALSE,6
19,416267,416582,316,938.1,772.8,"1420.jpg",414156,FALSE,7
19,416629,416803,175,1185.2,776.8,"1420.jpg",414156,FALSE,8
19,416853,417045,193,879,862.7,"1420.jpg",414156,FALSE,9
19,417103,417255,153,1211.4,866.2,"1420.jpg",414156,FALSE,10
20,418831,418997,167,923.4,348.9,"1433.jpg",418614,FALSE,1
20,419014,419820,807,913.4,311.3,"1433.jpg",418614,FALSE,2
20,419879,420176,298,861.1,612.1,"1433.jpg",418614,FALSE,3
20,420239,420454,216,1350,682.5,"1433.jpg",418614,FALSE,4
20,420479,420659,181,1435.1,708.9,"1433.jpg",418614,FALSE,5
20,420736,420946,211,1231.4,300.6,"1433.jpg",418614,FALSE,6
20,420993,421140,148,972.9,311.8,"1433.jpg",418614,FALSE,7
20,421163,421714,552,912.6,317.1,"1433.jpg",418614,FALSE,8
21,424277,424402,126,949.9,318.4,"1460.jpg",424065,FALSE,1
