"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,327048,327112,65,845.2,631.2,550.8,807.5,8.74,"1001.jpg",325790,327047,FALSE,FALSE
1,327472,327554,83,553.2,815.5,1353.5,802.7,19.99,"1001.jpg",325790,327047,FALSE,FALSE
1,327842,327949,108,1370.4,803.5,1246.8,539.4,7.43,"1001.jpg",325790,327047,FALSE,FALSE
1,328158,328183,26,1223.3,507.5,1110.1,506.7,2.91,"1001.jpg",325790,327047,FALSE,FALSE
1,328405,328446,42,1084.1,503.5,851.2,390.6,6.7,"1001.jpg",325790,327047,FALSE,FALSE
1,328698,328731,34,814.2,364,671,389.1,3.73,"1001.jpg",325790,327047,FALSE,FALSE
2,331239,331261,23,841,452.3,772.6,496,2.1,"1006.jpg",330698,331238,FALSE,FALSE
2,331648,331673,26,785.7,504.1,781.9,572.9,1.79,"1006.jpg",330698,331238,FALSE,FALSE
2,331982,332004,23,781.2,561,716.8,605.4,2.02,"1006.jpg",330698,331238,FALSE,FALSE
2,332181,332250,70,706.6,609.2,1326.1,706.8,15.94,"1006.jpg",330698,331238,FALSE,FALSE
2,332575,332618,44,1344.5,708.8,1322.6,530.7,4.59,"1006.jpg",330698,331238,FALSE,FALSE
2,332728,332783,56,1319.9,524,1099.8,261.9,8.76,"1006.jpg",330698,331238,FALSE,FALSE
2,333088,333142,55,1081.7,232.2,848.7,426.9,7.82,"1006.jpg",330698,331238,FALSE,FALSE
2,333498,333516,19,845,424.9,814,460,1.21,"1006.jpg",330698,331238,FALSE,FALSE
3,336566,336636,71,863,370.6,893,696.6,8.47,"1094.jpg",335856,336565,FALSE,FALSE
3,337119,337132,14,888,691.6,859.7,673.6,0.87,"1094.jpg",335856,336565,FALSE,FALSE
3,338026,338045,20,859.2,658.2,911.9,635,1.49,"1094.jpg",335856,336565,FALSE,FALSE
3,338241,338313,73,912.4,631.5,859.5,377.1,6.73,"1094.jpg",335856,336565,FALSE,FALSE
3,338730,338744,15,858.3,376.2,884.4,352.3,0.91,"1094.jpg",335856,336565,FALSE,FALSE
4,340736,340751,16,808.5,334.9,775.8,303,1.17,"1101.jpg",340298,340735,FALSE,FALSE
4,340951,341033,83,768.4,297.6,1299.4,258.6,13.53,"1101.jpg",340298,340735,FALSE,FALSE
4,341421,341536,116,1310.8,257.1,1207.7,483.8,6.36,"1101.jpg",340298,340735,FALSE,FALSE
4,341739,341802,64,1220.6,489.3,795.9,383.1,11.26,"1101.jpg",340298,340735,FALSE,FALSE
4,341971,342019,49,781,382.1,594.9,427.7,4.89,"1101.jpg",340298,340735,FALSE,FALSE
4,342085,342109,25,584,429.6,481.5,367.6,3.01,"1101.jpg",340298,340735,FALSE,FALSE
4,342915,342975,61,473.4,346.7,660.7,673.9,9.57,"1101.jpg",340298,340735,FALSE,FALSE
4,343348,343397,50,685.1,676.1,757.4,813.8,3.98,"1101.jpg",340298,340735,FALSE,FALSE
5,345135,345146,12,1302,737,1272.9,730.5,0.76,"1112.jpg",344573,345134,FALSE,FALSE
5,345458,345468,11,1268.5,721.5,1245.9,705.7,0.7,"1112.jpg",344573,345134,FALSE,FALSE
5,345746,345818,73,1241.6,704,572.1,793.7,17.08,"1112.jpg",344573,345134,FALSE,FALSE
5,345947,345974,28,574.1,792.7,472.4,825.5,2.66,"1112.jpg",344573,345134,FALSE,FALSE
5,346069,346142,74,488,824.5,1036,262.6,19.83,"1112.jpg",344573,345134,FALSE,FALSE
5,346286,346306,21,1045.5,235.5,1094.5,198.8,1.57,"1112.jpg",344573,345134,FALSE,FALSE
5,346781,346849,69,1092.7,203.7,1269,601.7,11.13,"1112.jpg",344573,345134,FALSE,FALSE
5,346941,346966,26,1273.5,594.6,1165.7,667,3.33,"1112.jpg",344573,345134,FALSE,FALSE
5,347122,347171,50,1164,674.2,1583.9,629.9,10.49,"1112.jpg",344573,345134,FALSE,FALSE
5,347305,347343,39,1565,623.3,1493.5,396.9,5.95,"1112.jpg",344573,345134,FALSE,FALSE
5,347509,347531,23,1505.9,342.9,1505.9,251.6,2.28,"1112.jpg",344573,345134,FALSE,FALSE
6,349388,349410,23,710,630.1,617.4,642.6,2.38,"1118.jpg",348673,349387,FALSE,FALSE
6,349638,349679,42,605,647.8,537.6,784.2,3.86,"1118.jpg",348673,349387,FALSE,FALSE
6,349810,349879,70,537.7,774.8,1253.6,745.7,18.05,"1118.jpg",348673,349387,FALSE,FALSE
6,350100,350161,62,1261.1,740.3,1312.9,459.7,7.3,"1118.jpg",348673,349387,FALSE,FALSE
6,350594,350651,58,1312,472.4,874.2,429.5,11.27,"1118.jpg",348673,349387,FALSE,FALSE
6,350822,350883,62,872.4,424.6,1417.8,279.5,14.3,"1118.jpg",348673,349387,FALSE,FALSE
6,351428,351500,73,1420.7,254.1,1152.3,838.2,16.22,"1118.jpg",348673,349387,FALSE,FALSE
6,351694,351714,21,1143.2,839,1072.2,853.6,1.86,"1118.jpg",348673,349387,FALSE,FALSE
7,355936,355948,13,1147.7,351.9,1144.4,375,0.6,"1132.jpg",355323,355935,FALSE,FALSE
7,356175,356250,76,1159.4,366.7,613.8,354.6,13.9,"1132.jpg",355323,355935,FALSE,FALSE
7,356701,356710,10,605,355.1,589.5,345.7,0.46,"1132.jpg",355323,355935,FALSE,FALSE
7,357231,357299,69,602.4,331.7,1145.8,346.8,13.83,"1132.jpg",355323,355935,FALSE,FALSE
7,358069,358086,18,1160.4,345.1,1204,357.6,1.16,"1132.jpg",355323,355935,FALSE,FALSE
8,361069,361083,15,1121.7,383.5,1156.7,388.6,0.91,"1178.jpg",360315,361068,FALSE,FALSE
8,361260,361276,17,1154.8,387.5,1111.5,380.4,1.13,"1178.jpg",360315,361068,FALSE,FALSE
8,361436,361512,77,1113.4,379.9,529.9,769.1,17.82,"1178.jpg",360315,361068,FALSE,FALSE
8,361739,361760,22,525.1,762.1,464.9,794.2,1.69,"1178.jpg",360315,361068,FALSE,FALSE
8,361928,361967,40,472.9,795.3,671.7,813.8,4.99,"1178.jpg",360315,361068,FALSE,FALSE
8,362091,362171,81,661.4,812.8,1404.4,810.2,18.62,"1178.jpg",360315,361068,FALSE,FALSE
8,362393,362457,65,1417.3,809.7,1410.1,407.5,10.16,"1178.jpg",360315,361068,FALSE,FALSE
8,362757,362835,79,1410.1,390,716.5,402,17.52,"1178.jpg",360315,361068,FALSE,FALSE
8,363108,363170,63,700.1,404,1135.5,379.9,11.2,"1178.jpg",360315,361068,FALSE,FALSE
