"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,5337924,5338084,161,975.4,514.9,"1001.jpg",5337591,FALSE,1
1,5338121,5338334,214,847,622.4,"1001.jpg",5337591,FALSE,2
1,5338352,5338603,252,823.2,665.6,"1001.jpg",5337591,FALSE,3
1,5338646,5338854,209,665.7,432.5,"1001.jpg",5337591,FALSE,4
1,5338867,5339009,143,678.2,404.1,"1001.jpg",5337591,FALSE,5
1,5339053,5339263,211,933.3,262.5,"1001.jpg",5337591,FALSE,6
1,5339283,5339474,192,894.6,272.2,"1001.jpg",5337591,FALSE,7
1,5339610,5340221,612,667.5,143.8,"1001.jpg",5337591,FALSE,8
1,5340273,5340537,265,1221.4,169.9,"1001.jpg",5337591,FALSE,9
2,5344880,5345008,129,903.9,370.8,"1006.jpg",5344699,FALSE,1
2,5345031,5345146,116,845.4,366.3,"1006.jpg",5344699,FALSE,2
2,5345175,5345484,310,811.1,462.5,"1006.jpg",5344699,FALSE,3
2,5345518,5345761,244,746,591.1,"1006.jpg",5344699,FALSE,4
2,5345779,5345924,146,726.7,587.3,"1006.jpg",5344699,FALSE,5
2,5345955,5346139,185,635,683.5,"1006.jpg",5344699,FALSE,6
2,5346146,5346543,398,648.6,678.2,"1006.jpg",5344699,FALSE,7
2,5346687,5346919,233,638.4,257.4,"1006.jpg",5344699,FALSE,8
2,5346967,5347097,131,1069.7,214.8,"1006.jpg",5344699,FALSE,9
2,5347125,5347257,133,1199.2,219.6,"1006.jpg",5344699,FALSE,10
2,5347337,5347440,104,1283.4,745,"1006.jpg",5344699,FALSE,11
2,5347461,5347624,164,1249.9,694.4,"1006.jpg",5344699,FALSE,12
2,5347649,5347769,121,1195.3,686.1,"1006.jpg",5344699,FALSE,13
3,5349387,5349640,254,898.2,297.9,"1094.jpg",5349141,FALSE,1
3,5349650,5349905,256,882.1,312.1,"1094.jpg",5349141,FALSE,2
3,5349925,5350071,147,876.3,360,"1094.jpg",5349141,FALSE,3
3,5350122,5350366,245,1375,187.1,"1094.jpg",5349141,FALSE,4
3,5350376,5350743,368,1371.4,167.5,"1094.jpg",5349141,FALSE,5
3,5350812,5351249,438,1226.9,1073.9,"1094.jpg",5349141,FALSE,6
3,5351532,5351786,255,903.2,670.9,"1094.jpg",5349141,FALSE,7
3,5351805,5351955,151,882.2,626.3,"1094.jpg",5349141,FALSE,8
3,5352004,5352122,119,667.1,233.4,"1094.jpg",5349141,FALSE,9
4,5353548,5353673,126,786.8,227.3,"1101.jpg",5353282,FALSE,1
4,5353729,5353955,227,485,172.6,"1101.jpg",5353282,FALSE,2
4,5353970,5354129,160,457,160.7,"1101.jpg",5353282,FALSE,3
