"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,461775,462173,399,885.5,423.9,"1001.jpg",461064,FALSE,1
1,462192,462417,226,887.9,378.5,"1001.jpg",461064,FALSE,2
1,462455,463183,729,942.2,556.4,"1001.jpg",461064,FALSE,3
1,463219,463470,252,1037.1,664,"1001.jpg",461064,FALSE,4
1,463500,463853,354,948.1,721.9,"1001.jpg",461064,FALSE,5
1,463888,464083,196,750.3,679,"1001.jpg",461064,FALSE,6
2,467319,467460,142,901.3,527,"1006.jpg",467147,FALSE,1
2,467491,467623,133,778.2,478.3,"1006.jpg",467147,FALSE,2
2,467641,467860,220,774.3,534.6,"1006.jpg",467147,FALSE,3
2,467893,468035,143,675.1,638.8,"1006.jpg",467147,FALSE,4
2,468068,468247,180,776.7,531.7,"1006.jpg",467147,FALSE,5
2,468283,468459,177,634.3,678.1,"1006.jpg",467147,FALSE,6
2,468483,468670,188,577.8,733.3,"1006.jpg",467147,FALSE,7
2,468707,469004,298,448.7,854.3,"1006.jpg",467147,FALSE,8
2,469040,469182,143,592.8,722.2,"1006.jpg",467147,FALSE,9
2,469243,469560,318,1260.2,714.9,"1006.jpg",467147,FALSE,10
2,469592,469954,363,1128.6,837,"1006.jpg",467147,FALSE,11
2,469992,470207,216,1290.3,689,"1006.jpg",467147,FALSE,12
3,472873,473035,163,902.2,432.8,"1094.jpg",472714,FALSE,1
3,473061,473459,399,840.6,357,"1094.jpg",472714,FALSE,2
3,473479,473784,306,875.5,338.5,"1094.jpg",472714,FALSE,3
3,473840,473994,155,859.6,718.2,"1094.jpg",472714,FALSE,4
3,474016,474285,270,862.5,664.7,"1094.jpg",472714,FALSE,5
3,474308,474545,238,887.5,711.6,"1094.jpg",472714,FALSE,6
3,474571,474758,188,977.5,684.6,"1094.jpg",472714,FALSE,7
3,474827,474987,161,1220.5,303.2,"1094.jpg",472714,FALSE,8
3,475011,475162,152,1290.6,268.5,"1094.jpg",472714,FALSE,9
3,475182,475490,309,1323.8,215.9,"1094.jpg",472714,FALSE,10
3,475553,475706,154,687.1,320.2,"1094.jpg",472714,FALSE,11
4,478463,478580,118,819.6,454.8,"1101.jpg",478288,FALSE,1
4,478617,478753,137,761.6,313.7,"1101.jpg",478288,FALSE,2
4,478763,479180,418,772.8,326.9,"1101.jpg",478288,FALSE,3
4,479231,479350,120,1322.1,313.7,"1101.jpg",478288,FALSE,4
4,479365,479961,597,1304.7,280,"1101.jpg",478288,FALSE,5
4,480031,480232,202,561.7,322.9,"1101.jpg",478288,FALSE,6
4,480265,480462,198,764.5,299.8,"1101.jpg",478288,FALSE,7
4,480505,480824,320,548.6,449.3,"1101.jpg",478288,FALSE,8
4,480864,481126,263,772.9,393.5,"1101.jpg",478288,FALSE,9
4,481183,481387,205,1252.7,551.9,"1101.jpg",478288,FALSE,10
5,483316,483452,137,1089,257.3,"1112.jpg",483072,FALSE,1
5,483467,483933,467,1093.8,229.6,"1112.jpg",483072,FALSE,2
5,483960,484082,123,1114.7,294.3,"1112.jpg",483072,FALSE,3
5,484147,484300,154,1268.9,693.9,"1112.jpg",483072,FALSE,4
5,484318,484729,412,1237.9,703.2,"1112.jpg",483072,FALSE,5
5,484784,484917,134,1478,362.1,"1112.jpg",483072,FALSE,6
5,484951,485215,265,1510.9,230,"1112.jpg",483072,FALSE,7
5,485287,485447,161,886,434.5,"1112.jpg",483072,FALSE,8
5,485516,485642,127,535.8,803.2,"1112.jpg",483072,FALSE,9
5,485666,485997,332,545.5,744.2,"1112.jpg",483072,FALSE,10
5,486021,486129,109,473.3,819.2,"1112.jpg",483072,FALSE,11
6,487889,488033,145,853.4,451.9,"1118.jpg",487730,FALSE,1
6,488059,488219,161,923.9,541.2,"1118.jpg",487730,FALSE,2
6,488231,488486,256,917.7,517,"1118.jpg",487730,FALSE,3
6,488534,488912,379,960.5,756.7,"1118.jpg",487730,FALSE,4
6,488954,489141,188,1256.7,725.7,"1118.jpg",487730,FALSE,5
6,489159,489444,286,1290.9,708.3,"1118.jpg",487730,FALSE,6
6,489493,489834,342,1252.2,437.9,"1118.jpg",487730,FALSE,7
6,489894,490109,216,717,354,"1118.jpg",487730,FALSE,8
6,490147,490534,388,588.1,488.6,"1118.jpg",487730,FALSE,9
6,490568,490745,178,574.9,669.4,"1118.jpg",487730,FALSE,10
7,492941,493130,190,1113.4,335.8,"1132.jpg",492755,FALSE,1
7,493150,493565,416,1158.6,351.5,"1132.jpg",492755,FALSE,2
7,493625,493968,344,579.9,346.7,"1132.jpg",492755,FALSE,3
7,493976,494224,249,595.5,328.9,"1132.jpg",492755,FALSE,4
7,494267,494454,188,648.1,171.2,"1132.jpg",492755,FALSE,5
7,494528,494648,121,1023.6,609.1,"1132.jpg",492755,FALSE,6
7,494798,495135,338,926.1,811.8,"1132.jpg",492755,FALSE,7
7,495156,495439,284,958.4,792.3,"1132.jpg",492755,FALSE,8
7,495508,495854,347,1425.6,352.2,"1132.jpg",492755,FALSE,9
8,498187,498327,141,1072.6,360.7,"1178.jpg",498014,FALSE,1
8,498347,498519,173,1113.6,373.4,"1178.jpg",498014,FALSE,2
8,498541,498941,401,1164.4,391.4,"1178.jpg",498014,FALSE,3
8,498982,499106,125,1244.6,625.8,"1178.jpg",498014,FALSE,4
8,499129,499269,141,1220.5,562.4,"1178.jpg",498014,FALSE,5
8,499321,499526,206,1413.2,819.7,"1178.jpg",498014,FALSE,6
8,499543,499952,410,1428.5,789.1,"1178.jpg",498014,FALSE,7
8,500021,500271,251,643.6,857.9,"1178.jpg",498014,FALSE,8
8,500303,500527,225,478.2,858.2,"1178.jpg",498014,FALSE,9
8,500544,500802,259,477.9,811.5,"1178.jpg",498014,FALSE,10
8,500837,501088,252,456.3,696.6,"1178.jpg",498014,FALSE,11
9,502877,503041,165,1068.7,589,"1188.jpg",502638,FALSE,1
9,503080,503366,287,1314.2,503.8,"1188.jpg",502638,FALSE,2
9,503380,503545,166,1312.9,496.4,"1188.jpg",502638,FALSE,3
9,503607,504147,541,684.1,472.9,"1188.jpg",502638,FALSE,4
9,504200,504303,104,1084,602.6,"1188.jpg",502638,FALSE,5
9,504322,504505,184,1041.7,603,"1188.jpg",502638,FALSE,6
9,504529,505340,812,1100.3,578,"1188.jpg",502638,FALSE,7
9,505362,505738,377,1010,582.4,"1188.jpg",502638,FALSE,8
10,507887,508114,228,913.7,532.4,"1226.jpg",507730,FALSE,1
10,508148,508310,163,741.9,525.4,"1226.jpg",507730,FALSE,2
10,508319,509092,774,750.1,531.9,"1226.jpg",507730,FALSE,3
10,509100,509231,132,766.1,518.9,"1226.jpg",507730,FALSE,4
10,509262,509464,203,913.9,565,"1226.jpg",507730,FALSE,5
10,509515,509647,133,1437.5,719.1,"1226.jpg",507730,FALSE,6
10,509667,509906,240,1405.1,684,"1226.jpg",507730,FALSE,7
10,509917,510829,913,1409.5,687.6,"1226.jpg",507730,FALSE,8
11,512490,512615,126,916.6,556.7,"1227.jpg",512480,FALSE,1
11,512654,513079,426,762.7,411,"1227.jpg",512480,FALSE,2
11,513087,513365,279,761,430.2,"1227.jpg",512480,FALSE,3
11,513416,513682,267,1026.1,809.3,"1227.jpg",512480,FALSE,4
11,513719,514028,310,1231.8,868.5,"1227.jpg",512480,FALSE,5
11,514060,514260,201,1355.1,857.8,"1227.jpg",512480,FALSE,6
11,514277,514420,144,1324.3,853.8,"1227.jpg",512480,FALSE,7
11,514470,514789,320,850.3,949.1,"1227.jpg",512480,FALSE,8
