"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,1409320,1409644,325,916.9,616.8,"1001.jpg",1408753,FALSE,1
1,1409667,1410019,353,840.6,627.5,"1001.jpg",1408753,FALSE,2
1,1410052,1410227,176,955.4,699.6,"1001.jpg",1408753,FALSE,3
1,1410253,1410481,229,1030,658.9,"1001.jpg",1408753,FALSE,4
1,1410507,1410730,224,1092.4,588.6,"1001.jpg",1408753,FALSE,5
1,1410783,1410991,209,761.3,430.9,"1001.jpg",1408753,FALSE,6
1,1411011,1411246,236,705.8,421.4,"1001.jpg",1408753,FALSE,7
1,1411292,1411625,334,945.7,313.5,"1001.jpg",1408753,FALSE,8
1,1411637,1411852,216,918.7,315.3,"1001.jpg",1408753,FALSE,9
2,1413926,1414145,220,815.2,442.5,"1006.jpg",1413578,FALSE,1
2,1414164,1414483,320,811.2,490.3,"1006.jpg",1413578,FALSE,2
2,1414505,1414867,363,764.7,524.9,"1006.jpg",1413578,FALSE,3
2,1414890,1415121,232,826.6,482.5,"1006.jpg",1413578,FALSE,4
2,1415129,1415304,176,838.9,480,"1006.jpg",1413578,FALSE,5
2,1415339,1415770,432,750.5,587.2,"1006.jpg",1413578,FALSE,6
2,1415806,1416610,805,833.7,481.6,"1006.jpg",1413578,FALSE,7
3,1418289,1418536,248,876.4,559.3,"1094.jpg",1418020,FALSE,1
3,1418579,1418985,407,878.1,337.7,"1094.jpg",1418020,FALSE,2
3,1418999,1419474,476,898.5,315.4,"1094.jpg",1418020,FALSE,3
3,1419531,1419752,222,876.5,608.8,"1094.jpg",1418020,FALSE,4
3,1419776,1420085,310,890.8,673.5,"1094.jpg",1418020,FALSE,5
3,1420100,1420294,195,918.8,677.3,"1094.jpg",1418020,FALSE,6
3,1420326,1420438,113,1044.9,725.1,"1094.jpg",1418020,FALSE,7
3,1420501,1420630,130,973.5,353.5,"1094.jpg",1418020,FALSE,8
3,1420656,1421119,464,878.6,336.5,"1094.jpg",1418020,FALSE,9
4,1422465,1422793,329,799.4,312.6,"1101.jpg",1422220,FALSE,1
