"block","stime","etime","dur","axp","ayp","img","image_onset_time","fix_end_before_onset","fix_order"
1,780385,780563,179,1020.5,566.6,"1001.jpg",780092,FALSE,1
1,780595,780937,343,928.3,650.9,"1001.jpg",780092,FALSE,2
1,780966,781212,247,860.4,701.7,"1001.jpg",780092,FALSE,3
1,781251,781628,378,969.1,817.4,"1001.jpg",780092,FALSE,4
1,781677,782086,410,1325.4,806.8,"1001.jpg",780092,FALSE,5
1,782108,782553,446,1361.6,798.8,"1001.jpg",780092,FALSE,6
1,782575,782897,323,1331.8,796.3,"1001.jpg",780092,FALSE,7
1,782922,783191,270,1368.4,833.2,"1001.jpg",780092,FALSE,8
2,784686,784851,166,919.9,540.6,"1006.jpg",784450,FALSE,1
2,784873,785033,161,876,521,"1006.jpg",784450,FALSE,2
2,785047,785781,735,846.5,525.5,"1006.jpg",784450,FALSE,3
2,785839,786108,270,644.8,701.8,"1006.jpg",784450,FALSE,4
2,786144,786270,127,569.9,729.6,"1006.jpg",784450,FALSE,5
2,786327,786517,191,806.1,812.3,"1006.jpg",784450,FALSE,6
2,786583,786768,186,1320.7,790.2,"1006.jpg",784450,FALSE,7
2,786799,787095,297,1366.2,805.1,"1006.jpg",784450,FALSE,8
2,787118,787318,201,1356.4,792.3,"1006.jpg",784450,FALSE,9
2,787334,787549,216,1346.1,769.9,"1006.jpg",784450,FALSE,10
3,788999,789150,152,913.4,490.5,"1094.jpg",788767,FALSE,1
3,789184,789924,741,894.3,355.1,"1094.jpg",788767,FALSE,2
3,789981,790336,356,923.7,704.5,"1094.jpg",788767,FALSE,3
3,790358,790491,134,940.2,698.4,"1094.jpg",788767,FALSE,4
3,790518,790731,214,916.8,635.5,"1094.jpg",788767,FALSE,5
3,790779,791011,233,1059.8,727.9,"1094.jpg",788767,FALSE,6
3,791042,791149,108,1090.7,694.8,"1094.jpg",788767,FALSE,7
3,791208,791400,193,1370.6,329.5,"1094.jpg",788767,FALSE,8
3,791425,791737,313,1404,278.1,"1094.jpg",788767,FALSE,9
3,791762,791866,105,1327.6,254.8,"1094.jpg",788767,FALSE,10
4,793080,793242,163,969.2,502,"1101.jpg",793026,FALSE,1
4,793276,793410,135,795.7,393.5,"1101.jpg",793026,FALSE,2
4,793435,793939,505,771.6,346.2,"1101.jpg",793026,FALSE,3
4,793999,794240,242,1294.6,299.5,"1101.jpg",793026,FALSE,4
4,794256,794548,293,1287.6,308.9,"1101.jpg",793026,FALSE,5
4,794614,794915,302,584.6,371.4,"1101.jpg",793026,FALSE,6
4,794938,795149,212,530.5,384.3,"1101.jpg",793026,FALSE,7
4,795195,795372,178,717.5,629.8,"1101.jpg",793026,FALSE,8
4,795395,795770,376,746.9,649,"1101.jpg",793026,FALSE,9
4,795801,796124,324,575.8,617.1,"1101.jpg",793026,FALSE,10
5,797400,797571,172,921.5,524.3,"1112.jpg",797350,FALSE,1
5,797612,797775,164,1081.5,510.4,"1112.jpg",797350,FALSE,2
5,797822,797935,114,1075.8,286.9,"1112.jpg",797350,FALSE,3
5,797958,798104,147,1080.3,250.6,"1112.jpg",797350,FALSE,4
5,798116,798430,315,1076.5,235.8,"1112.jpg",797350,FALSE,5
5,798483,798804,322,985.7,380.4,"1112.jpg",797350,FALSE,6
5,798888,799067,180,1110,839.3,"1112.jpg",797350,FALSE,7
5,799109,799271,163,1299.4,707,"1112.jpg",797350,FALSE,8
5,799294,799633,340,1245.5,729.3,"1112.jpg",797350,FALSE,9
5,799696,800357,662,1472.1,968.4,"1112.jpg",797350,FALSE,10
6,802222,802423,202,900.9,499.4,"1118.jpg",802192,FALSE,1
6,802442,802649,208,926.8,522.4,"1118.jpg",802192,FALSE,2
6,802690,802882,193,618.7,513.5,"1118.jpg",802192,FALSE,3
6,802904,803079,176,554.9,501.3,"1118.jpg",802192,FALSE,4
6,803115,803334,220,722.3,364.2,"1118.jpg",802192,FALSE,5
6,803357,803676,320,754.7,328.4,"1118.jpg",802192,FALSE,6
6,803746,803950,205,1219.8,505.7,"1118.jpg",802192,FALSE,7
6,804000,804186,187,1304.4,582.4,"1118.jpg",802192,FALSE,8
6,804236,804402,167,1233,735.6,"1118.jpg",802192,FALSE,9
6,804432,804703,272,1273.1,739.5,"1118.jpg",802192,FALSE,10
6,804766,805036,271,939.6,795.5,"1118.jpg",802192,FALSE,11
6,805080,805291,212,790.1,692.8,"1118.jpg",802192,FALSE,12
7,806859,806995,137,871.3,482.2,"1132.jpg",806800,FALSE,1
7,807040,807161,122,614.5,416.2,"1132.jpg",806800,FALSE,2
7,807182,807569,388,577.6,401.1,"1132.jpg",806800,FALSE,3
7,807636,808031,396,593.6,774.8,"1132.jpg",806800,FALSE,4
7,808204,808350,147,969.6,859.9,"1132.jpg",806800,FALSE,5
7,808425,808589,165,1169.2,381.7,"1132.jpg",806800,FALSE,6
7,808612,808892,281,1147.1,379.5,"1132.jpg",806800,FALSE,7
7,808923,809151,229,1187.2,423.3,"1132.jpg",806800,FALSE,8
7,809198,809460,263,1211.4,560.6,"1132.jpg",806800,FALSE,9
7,809518,809773,256,1261.4,772.1,"1132.jpg",806800,FALSE,10
8,811361,811571,211,841.2,489.5,"1178.jpg",811434,FALSE,1
8,811610,811838,229,1102,387.1,"1178.jpg",811434,FALSE,2
8,811867,812194,328,1116,411.7,"1178.jpg",811434,FALSE,3
8,812250,812394,145,1091.1,621.3,"1178.jpg",811434,FALSE,4
8,812454,812641,188,589.8,778.7,"1178.jpg",811434,FALSE,5
8,812692,812919,228,442.2,832.6,"1178.jpg",811434,FALSE,6
8,812945,813113,169,407.1,767.9,"1178.jpg",811434,FALSE,7
8,813136,813372,237,416.5,700.3,"1178.jpg",811434,FALSE,8
8,813427,813841,415,635.4,815.2,"1178.jpg",811434,FALSE,9
8,813854,813977,124,634.8,800.3,"1178.jpg",811434,FALSE,10
8,814029,814352,324,1197.2,603.5,"1178.jpg",811434,FALSE,11
8,814393,814533,141,1080.2,372.6,"1178.jpg",811434,FALSE,12
9,815870,816106,237,841.2,481,"1188.jpg",815950,FALSE,1
9,816151,816273,123,662.6,488.7,"1188.jpg",815950,FALSE,2
9,816293,816715,423,677,506.2,"1188.jpg",815950,FALSE,3
9,816770,816962,193,1001.2,572.2,"1188.jpg",815950,FALSE,4
9,816995,817161,167,1066.2,613.4,"1188.jpg",815950,FALSE,5
9,817179,817319,141,1086.2,623.9,"1188.jpg",815950,FALSE,6
9,817356,817580,225,1017.4,636,"1188.jpg",815950,FALSE,7
9,817636,817818,183,1294.6,556.3,"1188.jpg",815950,FALSE,8
9,817835,817990,156,1293.8,549,"1188.jpg",815950,FALSE,9
9,818037,818337,301,1019.9,318.3,"1188.jpg",815950,FALSE,10
9,818369,818771,403,1067.1,298,"1188.jpg",815950,FALSE,11
9,818779,818921,143,1075.3,299.4,"1188.jpg",815950,FALSE,12
10,820651,820806,156,909.2,534.5,"1226.jpg",820625,FALSE,1
10,820840,821103,264,896.9,579.6,"1226.jpg",820625,FALSE,2
10,821140,821450,311,933.6,738.8,"1226.jpg",820625,FALSE,3
10,821475,821625,151,938.8,806.5,"1226.jpg",820625,FALSE,4
10,821671,821963,293,693.8,914.1,"1226.jpg",820625,FALSE,5
10,822002,822330,329,744.9,775.1,"1226.jpg",820625,FALSE,6
10,822386,823426,1041,728.4,543.3,"1226.jpg",820625,FALSE,7
10,823492,823724,233,1387.5,702.7,"1226.jpg",820625,FALSE,8
11,825266,825427,162,832.6,551.2,"1227.jpg",825275,FALSE,1
11,825462,825915,454,732,440.7,"1227.jpg",825275,FALSE,2
11,825975,826270,296,410.5,831.3,"1227.jpg",825275,FALSE,3
11,826298,826449,152,530.6,840.5,"1227.jpg",825275,FALSE,4
11,826483,826707,225,798.9,947.6,"1227.jpg",825275,FALSE,5
11,826739,826965,227,990.3,834.7,"1227.jpg",825275,FALSE,6
11,827003,827447,445,1310,812.5,"1227.jpg",825275,FALSE,7
