"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,2239752,2239765,14,974.6,558,941.9,559.1,0.85,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2240162,2240180,19,940.2,588.5,985,571.8,1.24,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2240337,2240391,55,977.9,574.5,645.9,454.3,9.08,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2240605,2240652,48,647.2,451.6,864.4,313.6,6.6,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2240845,2240867,23,862.1,316.9,932.1,308,1.82,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2241053,2241071,19,925.9,306.7,880.2,327.9,1.3,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2241241,2241302,62,879.3,320.9,1318,319.8,11.19,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2241418,2241448,31,1326.7,324.2,1464.1,345.5,3.46,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2241718,2241734,17,1459.7,351.4,1448.3,374.5,0.65,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2241925,2241995,71,1443.2,376.6,1378.9,680.6,7.88,"1001.jpg",2239297,2239751,FALSE,FALSE
1,2242126,2242161,36,1375.6,671,1293.1,887.7,5.86,"1001.jpg",2239297,2239751,FALSE,FALSE
2,2244568,2244606,39,826.2,470,697.2,616.8,5.05,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2244854,2244871,18,698.8,619.4,656.2,622.9,1.09,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2245287,2245302,16,664,639.6,651.1,653.1,0.48,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2245416,2245476,61,648.9,655,1217.7,741.9,14.66,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2245656,2245711,56,1208.1,742.7,943,497.8,9.31,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2245875,2245908,34,937.6,503.5,792.6,541.4,3.88,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2246052,2246089,38,786.7,537.8,654.5,647.7,4.42,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2246233,2246275,43,654,638.2,705,389.4,6.53,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2246454,2246491,38,689.6,383.1,772.8,273.5,3.52,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2246602,2246655,54,768.6,277.3,1034.3,240.8,6.88,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2246850,2246892,43,1033.3,238.6,1208.4,241.1,4.48,"1006.jpg",2244122,2244567,FALSE,FALSE
2,2247064,2247109,46,1206.1,240,949.5,251.2,6.58,"1006.jpg",2244122,2244567,FALSE,FALSE
3,2249026,2249068,43,906.6,422.6,833,525,3.27,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2249171,2249211,41,824.3,517.3,848.9,649.2,3.48,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2249454,2249509,56,849.9,662.2,851.1,376.4,7.39,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2250239,2250309,71,869.2,360.3,1346.9,251.9,12.45,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2250716,2250744,29,1337.6,247.7,1461.8,238.3,3.09,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2250967,2250993,27,1444.6,242.7,1442.4,309,1.66,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2251100,2251176,77,1448.5,307.1,645.3,286.6,20.06,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2251292,2251371,80,635.3,286.1,771.4,961,17.37,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2251441,2251480,40,773.1,970.7,883,871.4,3.76,"1094.jpg",2248689,2249025,FALSE,FALSE
3,2251543,2251587,45,884.8,878.1,894.8,738.9,3.57,"1094.jpg",2248689,2249025,FALSE,FALSE
4,2253558,2253581,24,791.7,399.2,792.6,311.6,2.26,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2253742,2253812,71,787,319.4,1295.4,276.9,13,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2253966,2253985,20,1290.3,286.9,1314.7,293.1,0.64,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2254067,2254132,66,1312.5,293.2,804.5,291.5,12.93,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2254297,2254345,49,785.8,292.7,611.2,336.9,4.58,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2254532,2254588,57,600.7,339.7,864.7,258.8,7.04,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2254802,2254841,40,877.2,255.5,731.8,353.9,4.51,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2254986,2255009,24,727.9,346.8,789.1,338.4,1.59,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2255205,2255274,70,781.4,335.9,1272.8,298.5,12.57,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2255493,2255511,19,1287.7,295.9,1297.4,277.7,0.52,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2255883,2255932,50,1296.8,278.2,1277.7,505.5,5.83,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2256067,2256126,60,1272.4,516.8,866.3,404.9,10.82,"1101.jpg",2253256,2253557,FALSE,FALSE
4,2256294,2256315,22,850.3,399.3,788.9,358.3,1.91,"1101.jpg",2253256,2253557,FALSE,FALSE
5,2258838,2258879,42,1059.4,344.3,1110.1,211.5,3.64,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2259147,2259218,72,1103.4,223.3,1097.9,582,9.22,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2259489,2259525,37,1091,572.5,1163.7,605.1,2.06,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2259743,2259793,51,1173.7,612.4,1308.6,764.7,5.2,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2259942,2259961,20,1310.7,779.2,1261.2,736.8,1.65,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2260091,2260136,46,1256.8,738.1,1348.5,548.7,5.38,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2260383,2260440,58,1343.9,561.9,1130.9,241,9.83,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2260595,2260615,21,1131.6,239.1,1103.4,208.1,1.07,"1112.jpg",2258514,2258837,FALSE,FALSE
5,2260910,2260958,49,1100.7,198.3,1008.1,342.9,4.4,"1112.jpg",2258514,2258837,FALSE,FALSE
6,2265277,2265313,37,1142.1,541.4,941,527.7,5.22,"1118.jpg",2264839,2265276,FALSE,FALSE
6,2265493,2265510,18,939.5,528.7,900.7,521.3,1.03,"1118.jpg",2264839,2265276,FALSE,FALSE
6,2265693,2265752,60,908.2,518.8,1256.2,457.8,9.1,"1118.jpg",2264839,2265276,FALSE,FALSE
6,2266055,2266089,35,1264.4,464.3,1322.1,554.8,2.75,"1118.jpg",2264839,2265276,FALSE,FALSE
6,2266272,2266307,36,1333.6,549.9,1236.5,622.8,3.1,"1118.jpg",2264839,2265276,FALSE,FALSE
6,2266468,2266490,23,1245.1,618.5,1265.2,562.5,1.53,"1118.jpg",2264839,2265276,FALSE,FALSE
