"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,1053610,1053650,41,907.3,679.3,848.3,548.2,3.73,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1053768,1053815,48,843.8,562.5,701.5,409.2,5.4,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1054020,1054063,44,702.1,416.1,877.7,266.9,5.92,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1054279,1054300,22,863.5,275.4,879.2,320.5,1.23,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1054509,1054572,64,873,303.1,1399.7,342.9,13.37,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1054765,1054820,56,1422.8,349.9,1183.1,242.1,6.62,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1054987,1055055,69,1163.1,236.5,909.3,617.2,11.77,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1055339,1055363,25,908.9,637.4,838.4,649.2,1.85,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1055600,1055642,43,849.6,647.1,925.7,741.8,3.14,"1001.jpg",1053088,1053609,FALSE,FALSE
1,1055852,1055919,68,934.2,750.6,666.1,404,11.27,"1001.jpg",1053088,1053609,FALSE,FALSE
2,1059260,1059284,25,808.8,422.9,779.6,500.6,2.15,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1059466,1059509,44,786.4,497.2,711.2,621.6,3.76,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1059787,1059848,62,700.6,624.9,1202.3,653.1,12.88,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1060119,1060179,61,1229,662.2,1136.2,283.7,10,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1060353,1060391,39,1140.2,275.9,999.4,262.9,3.63,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1060531,1060555,25,1006.7,262.8,919.3,263.4,2.25,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1060793,1060851,59,930.8,257.6,731.5,529.5,8.68,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1061065,1061110,46,713.1,554.3,654.2,686.4,3.72,"1006.jpg",1058730,1059259,FALSE,FALSE
2,1061380,1061401,22,640.6,721.5,614.8,665.2,1.58,"1006.jpg",1058730,1059259,FALSE,FALSE
3,1063965,1063985,21,905.1,411.7,874.1,347.2,1.85,"1094.jpg",1063555,1063964,FALSE,FALSE
