"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,2686378,2686391,14,929.9,573.3,894.8,574.4,0.91,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2686681,2686711,31,884.1,582.4,888.4,476.3,2.76,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2686961,2686988,28,884.8,457.5,982.1,506.7,2.83,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2687276,2687301,26,976.8,507.4,878,528,2.62,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2687388,2687434,47,873.1,528.7,610.6,450.1,7.03,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2687557,2687601,45,609.4,448.4,861.7,261.7,8.02,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2688017,2688051,35,861.9,258,1030.1,317.2,4.59,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2688284,2688307,24,1036.4,322.2,943.2,303.3,2.46,"1001.jpg",2685578,2686377,FALSE,FALSE
1,2688593,2688677,85,926.9,296.1,1215.7,446,8.38,"1001.jpg",2685578,2686377,FALSE,FALSE
2,2695357,2695385,29,874.6,530.6,751.6,621.1,3.95,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2695669,2695683,15,752.3,626.6,727.7,605.8,0.83,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2696051,2696081,31,723.6,601.3,806.8,498.4,3.42,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2696390,2696426,37,809,503.7,691.7,604.2,3.98,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2696567,2696626,60,694.7,596.5,1267,640.9,14.66,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2696949,2697015,67,1268.8,640.8,1171.5,252.8,10.24,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2697305,2697354,50,1167.7,239.4,846.9,311.6,8.43,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2697704,2697748,45,853.9,310,562.7,364.7,7.54,"1006.jpg",2694928,2695356,FALSE,FALSE
2,2697933,2697977,45,576.1,360,874.8,277.2,7.89,"1006.jpg",2694928,2695356,FALSE,FALSE
