"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,1446442,1446580,139,995.3,537.1,1026,614.5,2.17,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1446853,1446895,43,1028.2,606.4,870.4,403.8,6.66,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1447114,1447154,41,866.1,406.3,732.7,418.7,3.46,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1447360,1447411,52,720.7,411.6,862,312.1,4.44,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1447893,1448030,138,877.9,290,1406.5,370.6,13.54,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1448289,1448323,35,1409.4,387.8,1470.6,361.7,1.65,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1448563,1448630,68,1484,355.5,1393.2,784.9,11.05,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1448878,1448919,42,1396.3,779.6,1328.4,853.1,2.51,"1001.jpg",1446244,1446441,FALSE,FALSE
1,1449115,1449141,27,1331.2,870.4,1325.1,894.1,0.61,"1001.jpg",1446244,1446441,FALSE,FALSE
2,1452155,1452200,46,996.8,530.4,819.6,580.5,4.78,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1452346,1452370,25,797.1,594.3,795,536.8,1.49,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1452746,1452756,11,789.9,541.4,784.7,522.4,0.51,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1452889,1452938,50,786,528.6,632,652,5.07,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1453344,1453372,29,620.9,671.9,687,620.1,2.15,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1453530,1453551,22,702.2,640.4,696.7,631,0.28,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1453599,1453651,53,698.8,640.3,837.9,447.2,6.14,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1453760,1453826,67,843,427.3,1091.5,271.5,7.56,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1453981,1454013,33,1109.7,270.6,1160.3,227.2,1.7,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1454216,1454282,67,1176.2,222,1348.9,529.4,8.98,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1454528,1454581,54,1355.7,534.7,1333,681.6,3.81,"1006.jpg",1451844,1452154,FALSE,FALSE
2,1454819,1454858,40,1332.7,680.3,1366.8,724,1.41,"1006.jpg",1451844,1452154,FALSE,FALSE
3,1457743,1457786,44,968.9,526.8,897.3,613.7,2.93,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1458188,1458258,71,892.3,624.9,893.3,311.4,8.1,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1458572,1458595,24,893.5,324.6,894.9,314.2,0.27,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1459061,1459088,28,888.9,307,880.1,308.5,0.23,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1459325,1459390,66,872.9,314.5,1199.8,278.3,8.44,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1459523,1459556,34,1194.7,279.5,1270.2,220.7,2.43,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1459748,1459769,22,1283.9,223.5,1312.3,200.1,0.93,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1460025,1460061,37,1321.4,203,1382.6,220.5,1.59,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1460205,1460398,194,1397.9,235.4,1200.1,691.8,12.62,"1094.jpg",1457453,1457742,FALSE,FALSE
3,1460456,1460515,60,1195.3,702,889.8,470.6,9.89,"1094.jpg",1457453,1457742,FALSE,FALSE
4,1463347,1463383,37,789.1,375.6,780.7,318.7,1.48,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1463899,1463970,72,783.3,297.5,1292.3,256.7,12.98,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1464159,1464188,30,1280.7,268.4,1283.8,247.5,0.54,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1464605,1464666,62,1289.5,238.8,1266.8,501.1,6.72,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1464959,1465009,51,1268.7,510.3,1137.3,642.3,4.79,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1465061,1465229,169,1140.9,668.7,1054,735.4,2.83,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1465304,1465403,100,1055.4,741.3,804.3,237.6,14.44,"1101.jpg",1462877,1463346,FALSE,FALSE
4,1465632,1465663,32,814,248.4,787.9,285,1.15,"1101.jpg",1462877,1463346,FALSE,FALSE
5,1469115,1469224,110,979,550.1,1063.3,403.8,4.38,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1469332,1469369,38,1062,389.4,1099.5,207.2,4.77,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1469567,1469611,45,1096.9,207.8,1005.8,288.6,3.12,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1469901,1469927,27,1008.7,305.8,1002.6,353.9,1.25,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1470080,1470141,62,1001.3,346.8,1112.5,512.8,5.17,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1470423,1470491,69,1116.3,507.1,1259.4,682.3,5.83,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1470732,1470786,55,1259.3,677.1,1326.5,704.3,1.84,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1470986,1471023,38,1332.2,723.2,1448.8,694.8,3,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1471153,1471211,59,1470.1,695.9,1494,306.2,9.81,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1471417,1471461,45,1490.2,308.3,1493,214.3,2.35,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1471639,1471719,81,1497.4,202.6,895.3,424.5,16.1,"1112.jpg",1469044,1469114,FALSE,FALSE
5,1471832,1471898,67,906.3,424.5,645.8,696.1,9.68,"1112.jpg",1469044,1469114,FALSE,FALSE
6,1476941,1476970,30,977.9,520.6,944.1,517.1,0.88,"1118.jpg",1476369,1476940,FALSE,FALSE
