"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,194797,194804,8,974.1,572.9,960.2,573.8,0.36,"1001.jpg",194328,194796,FALSE,FALSE
1,195257,195279,23,918,588.5,920.5,522.6,1.72,"1001.jpg",194328,194796,FALSE,FALSE
1,195469,195509,41,919.1,513.1,869.9,318.5,5.2,"1001.jpg",194328,194796,FALSE,FALSE
1,196038,196093,56,862.8,303.5,622.8,425.5,6.89,"1001.jpg",194328,194796,FALSE,FALSE
1,196522,196584,63,641.4,432.7,938.1,779.2,11.71,"1001.jpg",194328,194796,FALSE,FALSE
1,196841,196865,25,933.1,808.8,948.9,800.8,0.46,"1001.jpg",194328,194796,FALSE,FALSE
2,200509,200545,37,927.7,523.9,822.4,520.4,2.73,"1006.jpg",200144,200508,FALSE,FALSE
2,200911,200950,40,784.9,531.2,676.3,659.1,4.32,"1006.jpg",200144,200508,FALSE,FALSE
2,201139,201174,36,666.3,654.8,596.8,700.8,2.12,"1006.jpg",200144,200508,FALSE,FALSE
2,201545,201578,34,574.9,717,638,729.9,1.63,"1006.jpg",200144,200508,FALSE,FALSE
2,201705,201757,53,641.8,738.5,1206.5,764.1,14.38,"1006.jpg",200144,200508,FALSE,FALSE
2,201912,201948,37,1193.6,771.3,1293.1,788.1,2.56,"1006.jpg",200144,200508,FALSE,FALSE
2,202123,202151,29,1304.1,792.8,1329.6,791.7,0.64,"1006.jpg",200144,200508,FALSE,FALSE
2,202543,202573,31,1331.3,800.2,1345.2,853.2,1.38,"1006.jpg",200144,200508,FALSE,FALSE
2,202801,202820,20,1354.9,848,1356.5,803.2,1.13,"1006.jpg",200144,200508,FALSE,FALSE
2,202994,203020,27,1352.6,801.8,1347.7,782.9,0.49,"1006.jpg",200144,200508,FALSE,FALSE
3,205152,205189,38,971.7,555.7,875.3,377.6,5.25,"1094.jpg",204903,205151,FALSE,FALSE
3,205408,205416,9,876.6,389.7,887.4,380.3,0.37,"1094.jpg",204903,205151,FALSE,FALSE
3,205661,205675,15,886,380.9,915.9,376.8,0.78,"1094.jpg",204903,205151,FALSE,FALSE
3,205863,205903,41,908.1,377.1,1044.6,476.4,4.37,"1094.jpg",204903,205151,FALSE,FALSE
3,206101,206149,49,1046.6,476.6,1015,602.3,3.37,"1094.jpg",204903,205151,FALSE,FALSE
3,206360,206409,50,1011.1,611.5,891.4,659.3,3.34,"1094.jpg",204903,205151,FALSE,FALSE
3,206585,206613,29,900.9,671.7,914.1,726.4,1.46,"1094.jpg",204903,205151,FALSE,FALSE
3,206810,206827,18,915.4,729.7,899.4,738.5,0.47,"1094.jpg",204903,205151,FALSE,FALSE
3,206942,206965,24,900.9,741,871.9,668.6,2.02,"1094.jpg",204903,205151,FALSE,FALSE
3,207131,207209,79,868,675.4,1262.7,338.8,13.32,"1094.jpg",204903,205151,FALSE,FALSE
3,207390,207417,28,1251.8,331.8,1282.9,279.6,1.55,"1094.jpg",204903,205151,FALSE,FALSE
3,207754,207793,40,1277.2,291.4,1397.6,372.7,3.66,"1094.jpg",204903,205151,FALSE,FALSE
4,209773,209815,43,872.7,535.2,770.8,339.8,5.69,"1101.jpg",209311,209772,FALSE,FALSE
4,210387,210453,67,755.8,356.1,1287,298.8,13.61,"1101.jpg",209311,209772,FALSE,FALSE
4,210948,210978,31,1280,308.2,1295.4,408.2,2.59,"1101.jpg",209311,209772,FALSE,FALSE
4,211175,211217,43,1306.9,405.6,1283.6,497.7,2.44,"1101.jpg",209311,209772,FALSE,FALSE
4,211466,211514,49,1282,509.7,1235,619.5,3.07,"1101.jpg",209311,209772,FALSE,FALSE
4,211661,211727,67,1234.4,636.1,721.2,684.8,13.2,"1101.jpg",209311,209772,FALSE,FALSE
4,211845,211874,30,709.8,681.5,565,613.9,4.06,"1101.jpg",209311,209772,FALSE,FALSE
4,212260,212317,58,539.8,629.9,791.7,405.6,8.61,"1101.jpg",209311,209772,FALSE,FALSE
5,214563,214607,45,972.8,532.7,1068.1,283.6,6.89,"1112.jpg",214395,214562,FALSE,FALSE
5,214707,214730,24,1072.5,288.5,1081.9,218.3,1.81,"1112.jpg",214395,214562,FALSE,FALSE
5,214854,214874,21,1080.6,241.1,1073.2,207.3,0.88,"1112.jpg",214395,214562,FALSE,FALSE
5,215095,215145,51,1065,216.8,978.5,349.4,4.07,"1112.jpg",214395,214562,FALSE,FALSE
5,215510,215582,73,991.7,365.3,1170.9,716.8,10.17,"1112.jpg",214395,214562,FALSE,FALSE
5,215672,215720,49,1167.8,716.8,1292.5,723.5,3.18,"1112.jpg",214395,214562,FALSE,FALSE
5,215820,215842,23,1281.6,721.6,1259.7,701.1,0.77,"1112.jpg",214395,214562,FALSE,FALSE
5,216232,216305,74,1236.2,707.3,559.5,734.6,17.12,"1112.jpg",214395,214562,FALSE,FALSE
5,216603,216632,30,566,748,594.6,738.5,0.76,"1112.jpg",214395,214562,FALSE,FALSE
5,216773,216854,82,610.2,745.9,1446.9,381.1,22.86,"1112.jpg",214395,214562,FALSE,FALSE
5,217008,217037,30,1455,385.7,1474.6,280.2,2.69,"1112.jpg",214395,214562,FALSE,FALSE
6,219443,219458,16,972.7,489.4,947.3,510.2,0.85,"1118.jpg",219169,219442,FALSE,FALSE
6,219631,219656,26,948.3,513,900.7,448.5,2.08,"1118.jpg",219169,219442,FALSE,FALSE
6,219936,219957,22,891.1,468,931.9,468,1.06,"1118.jpg",219169,219442,FALSE,FALSE
6,220252,220285,34,904.2,465.6,937.9,510.2,1.45,"1118.jpg",219169,219442,FALSE,FALSE
6,220338,220397,60,945.1,512.4,1257.3,486.4,8.06,"1118.jpg",219169,219442,FALSE,FALSE
6,220634,220685,52,1254.6,497.3,1307.9,618.8,3.4,"1118.jpg",219169,219442,FALSE,FALSE
6,220801,220839,39,1300.7,636.3,1298,714.1,1.99,"1118.jpg",219169,219442,FALSE,FALSE
6,221182,221242,61,1298,721.1,941.6,752.5,9.15,"1118.jpg",219169,219442,FALSE,FALSE
6,221571,221603,33,928.2,778.6,978.4,806.1,1.48,"1118.jpg",219169,219442,FALSE,FALSE
6,221750,221799,50,991.1,802.1,1116,861.1,3.54,"1118.jpg",219169,219442,FALSE,FALSE
6,221917,221972,56,1113.3,861.9,839.7,690,8.3,"1118.jpg",219169,219442,FALSE,FALSE
7,224390,224467,78,976.4,519,1152.7,377.8,5.84,"1132.jpg",224128,224389,FALSE,FALSE
7,224710,224727,18,1169.4,380.6,1142.5,392.9,0.76,"1132.jpg",224128,224389,FALSE,FALSE
7,224925,224996,72,1153.9,392.2,600.5,372.3,14.11,"1132.jpg",224128,224389,FALSE,FALSE
7,225180,225190,11,597.9,376.8,583.8,361.6,0.53,"1132.jpg",224128,224389,FALSE,FALSE
7,225592,225666,75,587.8,368.5,647.4,738.1,9.56,"1132.jpg",224128,224389,FALSE,FALSE
7,225939,225961,23,648.9,754.1,579.9,766.2,1.77,"1132.jpg",224128,224389,FALSE,FALSE
7,226099,226172,74,589.5,768.3,1267,756.4,17.11,"1132.jpg",224128,224389,FALSE,FALSE
7,226420,226450,31,1259,756.2,1258.7,660.8,2.44,"1132.jpg",224128,224389,FALSE,FALSE
7,226619,226675,57,1253.9,670.9,1176.6,386.3,7.59,"1132.jpg",224128,224389,FALSE,FALSE
8,228865,228893,29,1093.2,410.9,1125.3,412,0.83,"1178.jpg",228378,228864,FALSE,FALSE
8,229170,229181,12,1110.9,420,1088.8,422.5,0.57,"1178.jpg",228378,228864,FALSE,FALSE
8,229300,229349,50,1090.1,425.8,1209,601.6,5.48,"1178.jpg",228378,228864,FALSE,FALSE
8,229622,229643,22,1194.8,613.3,1217.1,635.2,0.8,"1178.jpg",228378,228864,FALSE,FALSE
8,229711,229775,65,1216.8,633,693.1,762.7,13.8,"1178.jpg",228378,228864,FALSE,FALSE
8,229982,230018,37,690.6,775.3,573.5,821.8,3.18,"1178.jpg",228378,228864,FALSE,FALSE
8,230216,230255,40,559.3,820.6,435.7,829,3.06,"1178.jpg",228378,228864,FALSE,FALSE
8,230476,230494,19,424.7,830.6,379.8,817.9,1.13,"1178.jpg",228378,228864,FALSE,FALSE
8,230683,230715,33,385.9,819.5,414.7,684.3,3.45,"1178.jpg",228378,228864,FALSE,FALSE
8,230936,230986,51,417,694.5,508,898.3,5.56,"1178.jpg",228378,228864,FALSE,FALSE
8,231261,231299,39,503.6,909.7,663.6,906.7,3.99,"1178.jpg",228378,228864,FALSE,FALSE
8,231363,231441,79,667.4,910.9,1423,863.1,18.86,"1178.jpg",228378,228864,FALSE,FALSE
9,233676,233716,41,952,514.2,726.9,474.2,5.91,"1188.jpg",233486,233675,FALSE,FALSE
9,233865,233872,8,715.9,475.8,699.3,473,0.43,"1188.jpg",233486,233675,FALSE,FALSE
9,234402,234459,58,686.7,488.3,1006.6,276.8,9.85,"1188.jpg",233486,233675,FALSE,FALSE
9,234670,234697,28,1004.9,264.5,1027.5,267.6,0.59,"1188.jpg",233486,233675,FALSE,FALSE
9,234875,234915,41,1028,264.3,1140.3,309.8,3.11,"1188.jpg",233486,233675,FALSE,FALSE
9,235066,235120,55,1142.3,319.1,1319.7,524,6.94,"1188.jpg",233486,233675,FALSE,FALSE
9,235255,235273,19,1301.9,546.4,1285.1,526.1,0.67,"1188.jpg",233486,233675,FALSE,FALSE
9,235425,235478,54,1287.3,531.1,1072.7,606.3,5.84,"1188.jpg",233486,233675,FALSE,FALSE
9,235616,235636,21,1083.3,611.6,1084.7,590.5,0.55,"1188.jpg",233486,233675,FALSE,FALSE
9,235769,235804,36,1093.3,598.1,1026,606.5,1.76,"1188.jpg",233486,233675,FALSE,FALSE
9,236375,236414,40,1021.6,614.7,1036.2,690.6,2,"1188.jpg",233486,233675,FALSE,FALSE
10,238644,238663,20,964.1,546.5,930.7,564.7,0.99,"1226.jpg",238469,238643,FALSE,FALSE
10,238810,238823,14,934.3,564.7,905.2,561.3,0.76,"1226.jpg",238469,238643,FALSE,FALSE
10,239106,239132,27,884.2,578.6,742.8,540.7,3.78,"1226.jpg",238469,238643,FALSE,FALSE
10,239589,239640,52,724.8,537.2,756.6,752.2,5.61,"1226.jpg",238469,238643,FALSE,FALSE
10,239855,239887,33,752.8,767.3,772.5,910.5,3.67,"1226.jpg",238469,238643,FALSE,FALSE
10,240085,240131,47,775.3,904.9,684.7,958.6,2.66,"1226.jpg",238469,238643,FALSE,FALSE
10,240286,240293,8,696.4,960.6,680.8,960.6,0.39,"1226.jpg",238469,238643,FALSE,FALSE
10,240427,240460,34,688.2,959.9,743.3,810.4,4.02,"1226.jpg",238469,238643,FALSE,FALSE
10,240801,240812,12,736.5,821.8,722.1,837.3,0.54,"1226.jpg",238469,238643,FALSE,FALSE
10,240998,241063,66,730.3,836.5,1379.6,729.1,16.62,"1226.jpg",238469,238643,FALSE,FALSE
10,241218,241241,24,1381.8,733.3,1388.1,705.9,0.71,"1226.jpg",238469,238643,FALSE,FALSE
11,243956,243970,15,743.7,457.6,751.9,430.8,0.72,"1227.jpg",243536,243955,FALSE,FALSE
11,244453,244508,56,705.9,422.6,436.5,789.2,11.49,"1227.jpg",243536,243955,FALSE,FALSE
11,244851,244877,27,428.2,783.6,564.4,808.6,3.43,"1227.jpg",243536,243955,FALSE,FALSE
11,245030,245068,39,564.4,810.6,992.7,842.4,10.89,"1227.jpg",243536,243955,FALSE,FALSE
11,245358,245381,24,983.4,849,1031.8,840,1.27,"1227.jpg",243536,243955,FALSE,FALSE
11,245514,245556,43,1025.9,848.2,1297.4,866.8,6.92,"1227.jpg",243536,243955,FALSE,FALSE
11,245792,245814,23,1296.7,865.4,1353.3,839,1.57,"1227.jpg",243536,243955,FALSE,FALSE
11,245988,246029,42,1349.4,842.9,1264.5,625.3,5.94,"1227.jpg",243536,243955,FALSE,FALSE
11,246247,246268,22,1252.5,623,1325.3,619.2,1.85,"1227.jpg",243536,243955,FALSE,FALSE
11,246464,246499,36,1321.6,620.8,1259.7,456.7,4.5,"1227.jpg",243536,243955,FALSE,FALSE
12,248169,248198,30,841.8,531.6,845.8,359.7,4.45,"1233.jpg",247978,248168,FALSE,FALSE
12,248286,248310,25,845.5,346.3,835.4,280.2,1.72,"1233.jpg",247978,248168,FALSE,FALSE
12,248707,248721,15,829.7,309.1,836.2,305.1,0.2,"1233.jpg",247978,248168,FALSE,FALSE
12,248961,249013,53,837.7,303.7,789.7,489.3,4.95,"1233.jpg",247978,248168,FALSE,FALSE
12,249146,249185,40,793.2,503.7,702,521,2.39,"1233.jpg",247978,248168,FALSE,FALSE
12,249614,249673,60,690.6,514.2,402.9,442.2,7.41,"1233.jpg",247978,248168,FALSE,FALSE
12,250073,250105,33,421.6,441.6,411.5,581.5,3.54,"1233.jpg",247978,248168,FALSE,FALSE
12,250542,250607,66,415.7,575.9,873.2,730,12.16,"1233.jpg",247978,248168,FALSE,FALSE
12,250905,250949,45,870.7,741.5,853.3,857,2.99,"1233.jpg",247978,248168,FALSE,FALSE
13,253163,253181,19,981.5,453,984.4,412.4,1.06,"1265.jpg",252570,253162,FALSE,FALSE
13,253233,253271,39,992.1,412.1,1021.5,319.5,2.51,"1265.jpg",252570,253162,FALSE,FALSE
13,253458,253493,36,1026.4,310.4,1103.2,299.7,2,"1265.jpg",252570,253162,FALSE,FALSE
13,253704,253734,31,1083.3,304.3,1130.1,297.4,1.22,"1265.jpg",252570,253162,FALSE,FALSE
13,253886,253934,49,1134.4,298.4,995.7,338.9,3.72,"1265.jpg",252570,253162,FALSE,FALSE
13,254512,254573,62,1013.3,349,981.4,657.3,8.03,"1265.jpg",252570,253162,FALSE,FALSE
13,254733,254803,71,985.4,673.5,1206.1,356.6,9.96,"1265.jpg",252570,253162,FALSE,FALSE
13,255112,255185,74,1197.7,361.2,773.5,925.8,17.99,"1265.jpg",252570,253162,FALSE,FALSE
13,255346,255369,24,755.6,933.7,789,862.5,1.99,"1265.jpg",252570,253162,FALSE,FALSE
13,255557,255580,24,791,876,832.5,881,1.07,"1265.jpg",252570,253162,FALSE,FALSE
14,257566,257622,57,888.3,565.6,811.1,329.6,6.42,"1277.jpg",257145,257565,FALSE,FALSE
14,257777,257791,15,811.8,318,807.6,289.7,0.73,"1277.jpg",257145,257565,FALSE,FALSE
14,258141,258173,33,804.9,304.5,753.1,392.5,2.63,"1277.jpg",257145,257565,FALSE,FALSE
14,258286,258337,52,754.8,379.6,655.3,515.4,4.33,"1277.jpg",257145,257565,FALSE,FALSE
14,258589,258622,34,663.8,526,665.6,564.3,0.99,"1277.jpg",257145,257565,FALSE,FALSE
14,258805,258869,65,669.5,571.6,915.6,874.4,10,"1277.jpg",257145,257565,FALSE,FALSE
14,259009,259020,12,925.3,885.1,917.2,863.3,0.59,"1277.jpg",257145,257565,FALSE,FALSE
14,259206,259240,35,904.2,877,921.9,716.3,4.15,"1277.jpg",257145,257565,FALSE,FALSE
14,259900,259956,57,933.5,711.8,1145.3,906.3,7.37,"1277.jpg",257145,257565,FALSE,FALSE
14,260138,260170,33,1138.1,913.3,1180.4,908.3,1.08,"1277.jpg",257145,257565,FALSE,FALSE
15,261892,261931,40,924.7,534.8,800.4,585.5,3.48,"1287.jpg",261678,261891,FALSE,FALSE
15,262125,262147,23,785.3,597,772.6,656.6,1.58,"1287.jpg",261678,261891,FALSE,FALSE
15,262300,262323,24,760.2,653.1,785.1,724.7,1.96,"1287.jpg",261678,261891,FALSE,FALSE
15,262554,262574,21,778.3,717.9,771.3,776.7,1.52,"1287.jpg",261678,261891,FALSE,FALSE
15,262814,262879,66,769.3,780.2,398.9,725.9,9.35,"1287.jpg",261678,261891,FALSE,FALSE
15,263077,263098,22,396.9,730.9,419.4,756.5,0.84,"1287.jpg",261678,261891,FALSE,FALSE
15,263335,263369,35,414.1,758.8,372.1,764.3,1.03,"1287.jpg",261678,261891,FALSE,FALSE
15,263469,263546,78,358.2,760.4,1057.4,418.2,19.5,"1287.jpg",261678,261891,FALSE,FALSE
15,263699,263733,35,1045.7,414.7,1057.1,386.9,0.78,"1287.jpg",261678,261891,FALSE,FALSE
15,263917,263971,55,1053.2,383.4,1276.3,498.1,6.44,"1287.jpg",261678,261891,FALSE,FALSE
15,264235,264302,68,1259,502.9,1135,847.7,9.38,"1287.jpg",261678,261891,FALSE,FALSE
15,264450,264492,43,1128.9,845.5,1212.1,859.7,2.15,"1287.jpg",261678,261891,FALSE,FALSE
15,264605,264645,41,1203.5,855,1151.9,877.3,1.43,"1287.jpg",261678,261891,FALSE,FALSE
16,266485,266523,39,904.3,533.3,798.8,552.4,2.78,"1296.jpg",266278,266484,FALSE,FALSE
16,266688,266794,107,793,552.2,850.8,680.5,3.65,"1296.jpg",266278,266484,FALSE,FALSE
16,266939,266957,19,829.1,698.9,846.9,736.8,1.08,"1296.jpg",266278,266484,FALSE,FALSE
16,267101,267117,17,835.9,732.1,814.6,738.8,0.58,"1296.jpg",266278,266484,FALSE,FALSE
16,267385,267439,55,807.7,742.7,914.1,701.8,2.95,"1296.jpg",266278,266484,FALSE,FALSE
16,267884,267940,57,895,692.6,1143.5,755.7,6.62,"1296.jpg",266278,266484,FALSE,FALSE
16,268195,268229,35,1126.2,758.2,1178.3,747.4,1.37,"1296.jpg",266278,266484,FALSE,FALSE
16,268426,268462,37,1186.8,752.6,1333.3,674.2,4.23,"1296.jpg",266278,266484,FALSE,FALSE
16,268654,268700,47,1343.6,645.3,975,380.2,11.63,"1296.jpg",266278,266484,FALSE,FALSE
16,268946,268962,17,945.6,377.3,925.5,353.6,0.8,"1296.jpg",266278,266484,FALSE,FALSE
16,269078,269136,59,932.2,360.5,1245.3,396.2,8.1,"1296.jpg",266278,266484,FALSE,FALSE
17,271661,271690,30,939.6,548,789.1,426.7,5.01,"1335.jpg",271478,271660,FALSE,FALSE
17,271808,271825,18,780.5,412.1,784.3,373.9,0.99,"1335.jpg",271478,271660,FALSE,FALSE
17,272092,272108,17,776.7,401,808,399.5,0.81,"1335.jpg",271478,271660,FALSE,FALSE
17,272282,272339,58,799.4,399,1088.5,519.9,8.1,"1335.jpg",271478,271660,FALSE,FALSE
17,272549,272566,18,1092.9,524.7,1106.9,513.8,0.46,"1335.jpg",271478,271660,FALSE,FALSE
17,272959,273018,60,1085.4,511.2,857.8,768.5,8.88,"1335.jpg",271478,271660,FALSE,FALSE
17,273214,273268,55,850.8,790.2,1121,809.7,6.96,"1335.jpg",271478,271660,FALSE,FALSE
17,273625,273644,20,1132.7,801.7,1097.2,826.2,1.1,"1335.jpg",271478,271660,FALSE,FALSE
17,273787,273820,34,1104.6,818.3,830.8,785.7,7.08,"1335.jpg",271478,271660,FALSE,FALSE
17,274137,274159,23,808.8,798.8,842.4,824,1.08,"1335.jpg",271478,271660,FALSE,FALSE
17,274240,274304,65,841.7,817.4,748.4,375.2,11.6,"1335.jpg",271478,271660,FALSE,FALSE
17,274478,274501,24,753.7,363.1,784.5,390.1,1.06,"1335.jpg",271478,271660,FALSE,FALSE
18,276378,276400,23,781.9,629.9,735.6,648,1.28,"1391.jpg",275961,276377,FALSE,FALSE
18,276523,276557,35,729.5,653.8,802.8,676.8,1.98,"1391.jpg",275961,276377,FALSE,FALSE
18,276861,276915,55,785.1,697.5,481,299.2,12.72,"1391.jpg",275961,276377,FALSE,FALSE
18,277156,277168,13,462.3,286.6,447.9,264.2,0.66,"1391.jpg",275961,276377,FALSE,FALSE
18,277437,277506,70,454.5,270,986.1,345.1,13.53,"1391.jpg",275961,276377,FALSE,FALSE
18,277717,277791,75,972,355.6,1189.3,689.8,10.28,"1391.jpg",275961,276377,FALSE,FALSE
18,277974,278019,46,1187.7,682,1137.4,769.5,2.59,"1391.jpg",275961,276377,FALSE,FALSE
18,278266,278297,32,1156.1,779.2,1191.9,815.9,1.31,"1391.jpg",275961,276377,FALSE,FALSE
18,278533,278563,31,1204,817.8,1167.6,855.5,1.33,"1391.jpg",275961,276377,FALSE,FALSE
18,278771,278807,37,1161.7,851,1229.9,882.9,1.91,"1391.jpg",275961,276377,FALSE,FALSE
19,280821,280836,16,617.7,483.5,614.5,451.8,0.82,"1420.jpg",280303,280820,FALSE,FALSE
19,281129,281164,36,593.1,453.6,623.5,278.1,4.54,"1420.jpg",280303,280820,FALSE,FALSE
19,281397,281448,52,624,269.7,1251.2,261.6,15.86,"1420.jpg",280303,280820,FALSE,FALSE
19,281605,281625,21,1237.4,260.5,1236.7,210.1,1.28,"1420.jpg",280303,280820,FALSE,FALSE
19,281947,282015,69,1241.9,210.7,1060.6,475.7,8.22,"1420.jpg",280303,280820,FALSE,FALSE
19,282269,282334,66,1068.6,481.4,1074.6,721,6.21,"1420.jpg",280303,280820,FALSE,FALSE
19,282535,282593,59,1073.2,714.3,1042.7,470,6.38,"1420.jpg",280303,280820,FALSE,FALSE
19,282983,283044,62,1020.4,453.4,878.1,736.1,8.19,"1420.jpg",280303,280820,FALSE,FALSE
19,283206,283250,45,885.2,754.9,981,802.7,2.76,"1420.jpg",280303,280820,FALSE,FALSE
19,283360,283402,43,971.3,804.6,1112.3,804.4,3.63,"1420.jpg",280303,280820,FALSE,FALSE
20,285425,285458,34,906.6,570.6,891.6,380,4.97,"1433.jpg",285228,285424,FALSE,FALSE
20,285581,285602,22,890.4,386,883.3,350.6,0.93,"1433.jpg",285228,285424,FALSE,FALSE
20,285992,286049,58,878.7,373.6,797.2,635.9,7.11,"1433.jpg",285228,285424,FALSE,FALSE
20,286292,286316,25,800.2,652.8,714.1,662.2,2.23,"1433.jpg",285228,285424,FALSE,FALSE
20,286478,286506,29,726.7,654.6,695.3,684.3,1.11,"1433.jpg",285228,285424,FALSE,FALSE
20,286586,286634,49,691.1,681.6,827.1,723.4,3.65,"1433.jpg",285228,285424,FALSE,FALSE
20,286746,286807,62,823,723.3,1328.4,664.5,12.98,"1433.jpg",285228,285424,FALSE,FALSE
20,287031,287049,19,1338.9,671.3,1343.8,640.4,0.8,"1433.jpg",285228,285424,FALSE,FALSE
20,287210,287246,37,1333.3,656.4,1394.7,733.8,2.5,"1433.jpg",285228,285424,FALSE,FALSE
20,287497,287543,47,1404.2,726.4,1040.3,872.7,9.91,"1433.jpg",285228,285424,FALSE,FALSE
20,287750,287783,34,1010.4,874.2,1061.1,885.8,1.33,"1433.jpg",285228,285424,FALSE,FALSE
21,290861,290902,42,931.8,549.1,753.1,570.3,4.66,"1460.jpg",290611,290860,FALSE,FALSE
21,291133,291157,25,712.3,589.9,679.5,659.5,1.98,"1460.jpg",290611,290860,FALSE,FALSE
21,291326,291378,53,672.2,649.4,872.5,344.5,9.39,"1460.jpg",290611,290860,FALSE,FALSE
21,291518,291542,25,865.2,338.1,887.3,297.9,1.18,"1460.jpg",290611,290860,FALSE,FALSE
21,291859,291878,20,893.4,310.4,910.5,315.5,0.46,"1460.jpg",290611,290860,FALSE,FALSE
21,292067,292132,66,917.3,322.8,991.7,596.6,7.34,"1460.jpg",290611,290860,FALSE,FALSE
21,292297,292346,50,1004.3,601.9,1136.8,740,4.95,"1460.jpg",290611,290860,FALSE,FALSE
21,292585,292648,64,1129.8,754.8,731,496.6,12.23,"1460.jpg",290611,290860,FALSE,FALSE
21,292868,292892,25,725.2,485,734,526.2,1.09,"1460.jpg",290611,290860,FALSE,FALSE
21,293096,293126,31,741.1,527.8,735.1,403.1,3.23,"1460.jpg",290611,290860,FALSE,FALSE
21,293581,293622,42,722.1,422.5,586.1,407.8,3.48,"1460.jpg",290611,290860,FALSE,FALSE
22,295371,295393,23,958.9,534.4,872.6,517.1,2.29,"1472.jpg",295078,295370,FALSE,FALSE
22,295577,295639,63,871,528,1213.1,345.4,10,"1472.jpg",295078,295370,FALSE,FALSE
22,296098,296145,48,1192.6,348.6,1247.7,516.3,4.54,"1472.jpg",295078,295370,FALSE,FALSE
22,296365,296382,18,1240,541.8,1223.5,575.3,0.96,"1472.jpg",295078,295370,FALSE,FALSE
22,296526,296580,55,1228.2,567.9,1304.3,770.1,5.53,"1472.jpg",295078,295370,FALSE,FALSE
22,296861,296902,42,1301.8,779.7,1278.1,886.6,2.77,"1472.jpg",295078,295370,FALSE,FALSE
22,297116,297182,67,1277.1,903.6,522.3,536.1,21.08,"1472.jpg",295078,295370,FALSE,FALSE
22,297414,297441,28,515,534.2,541.6,528.3,0.68,"1472.jpg",295078,295370,FALSE,FALSE
22,297598,297627,30,537.6,540,577.3,417.3,3.29,"1472.jpg",295078,295370,FALSE,FALSE
22,297947,298007,61,552.7,417.7,970.2,403.4,10.66,"1472.jpg",295078,295370,FALSE,FALSE
22,298106,298133,28,976.6,408.2,939.6,317.1,2.54,"1472.jpg",295078,295370,FALSE,FALSE
23,299717,299744,28,954.7,516.6,882,445.4,2.64,"1479.jpg",299478,299716,FALSE,FALSE
23,299882,299900,19,891.2,453.6,911,453.2,0.51,"1479.jpg",299478,299716,FALSE,FALSE
23,300156,300209,54,887.2,463.2,1029.5,631.5,5.72,"1479.jpg",299478,299716,FALSE,FALSE
23,300322,300343,22,1027.6,653.1,1030.1,612.7,1.05,"1479.jpg",299478,299716,FALSE,FALSE
23,300716,300767,52,1024.3,626,934.4,781.5,4.64,"1479.jpg",299478,299716,FALSE,FALSE
23,300942,300972,31,931.2,805.5,885.9,790,1.23,"1479.jpg",299478,299716,FALSE,FALSE
23,301138,301191,54,887.9,788.6,767.6,660.4,4.53,"1479.jpg",299478,299716,FALSE,FALSE
23,301332,301383,52,770.5,653.2,858.3,466.5,5.34,"1479.jpg",299478,299716,FALSE,FALSE
23,301564,301583,20,863.4,454.4,879.6,460.2,0.45,"1479.jpg",299478,299716,FALSE,FALSE
23,301834,301866,33,884.3,458.6,708.8,351.3,5.3,"1479.jpg",299478,299716,FALSE,FALSE
