"block","stime","etime","dur","sxp","syp","exp","eyp","ampl","img","image_onset_time","etime_first_fix","sacc_end_before_onset","sacc_end_before_end_first_fix"
1,780564,780594,31,1014,581.3,936.8,650.4,2.69,"1001.jpg",780092,780563,FALSE,FALSE
1,780938,780965,28,926.9,659.2,863.4,702,1.98,"1001.jpg",780092,780563,FALSE,FALSE
1,781213,781250,38,855.3,705.1,964.7,818.2,4.06,"1001.jpg",780092,780563,FALSE,FALSE
1,781629,781676,48,962.8,819.5,1320.3,808.2,9.1,"1001.jpg",780092,780563,FALSE,FALSE
1,782087,782107,21,1328.9,799.2,1360.3,812,0.85,"1001.jpg",780092,780563,FALSE,FALSE
1,782554,782574,21,1363.3,790.2,1326.4,800.4,0.96,"1001.jpg",780092,780563,FALSE,FALSE
1,782898,782921,24,1332.2,793.1,1371.5,844.4,1.62,"1001.jpg",780092,780563,FALSE,FALSE
2,784852,784872,21,921.6,545.1,876.8,512.8,1.44,"1006.jpg",784450,784851,FALSE,FALSE
2,785034,785046,13,870.2,521.8,842.3,520,0.73,"1006.jpg",784450,784851,FALSE,FALSE
2,785782,785838,57,846.9,523.2,638.9,690,6.85,"1006.jpg",784450,784851,FALSE,FALSE
2,786109,786143,35,644,709.6,588.2,717.5,1.43,"1006.jpg",784450,784851,FALSE,FALSE
2,786271,786326,56,560.1,738,824.7,809.1,6.96,"1006.jpg",784450,784851,FALSE,FALSE
2,786518,786582,65,798.3,814.7,1320.5,785.1,13.28,"1006.jpg",784450,784851,FALSE,FALSE
2,786769,786798,30,1317,791.8,1361.5,800.7,1.14,"1006.jpg",784450,784851,FALSE,FALSE
2,787096,787117,22,1365.6,807.6,1363.8,786.1,0.55,"1006.jpg",784450,784851,FALSE,FALSE
2,787319,787333,15,1353.3,793.2,1346.1,767.8,0.67,"1006.jpg",784450,784851,FALSE,FALSE
3,789151,789183,33,916.1,490.5,883,354.4,3.63,"1094.jpg",788767,789150,FALSE,FALSE
3,789925,789980,56,901.4,353.8,915.6,708.1,9.16,"1094.jpg",788767,789150,FALSE,FALSE
3,790337,790357,21,921,704.5,946.6,696.1,0.7,"1094.jpg",788767,789150,FALSE,FALSE
3,790492,790517,26,940.8,700.8,913.9,622.3,2.15,"1094.jpg",788767,789150,FALSE,FALSE
3,790732,790778,47,915.2,638.8,1067.5,717.3,4.44,"1094.jpg",788767,789150,FALSE,FALSE
3,791012,791041,30,1054.6,730.2,1087.4,682.6,1.49,"1094.jpg",788767,789150,FALSE,FALSE
3,791150,791207,58,1088.6,697.7,1390,318.9,12.34,"1094.jpg",788767,789150,FALSE,FALSE
3,791401,791424,24,1363.6,331.5,1405.7,274.1,1.79,"1094.jpg",788767,789150,FALSE,FALSE
3,791738,791761,24,1401.2,281,1321.8,252.4,2.11,"1094.jpg",788767,789150,FALSE,FALSE
4,793243,793275,33,967.6,502.3,803.4,409,4.89,"1101.jpg",793026,793242,FALSE,FALSE
4,793411,793434,24,794.8,394.7,776.4,326.8,1.81,"1101.jpg",793026,793242,FALSE,FALSE
4,793940,793998,59,765.8,354.4,1306.8,296.4,13.85,"1101.jpg",793026,793242,FALSE,FALSE
4,794241,794255,15,1292.2,302.3,1279.7,312.3,0.41,"1101.jpg",793026,793242,FALSE,FALSE
4,794549,794613,65,1289.4,303,586.6,377.3,17.83,"1101.jpg",793026,793242,FALSE,FALSE
4,794916,794937,22,588.2,371.5,531.8,380.9,1.44,"1101.jpg",793026,793242,FALSE,FALSE
4,795150,795194,45,516,390.4,720.3,624,7.9,"1101.jpg",793026,793242,FALSE,FALSE
4,795373,795394,22,716,636.4,755.4,646,1.04,"1101.jpg",793026,793242,FALSE,FALSE
4,795771,795800,30,746.5,654.3,580,626.5,4.3,"1101.jpg",793026,793242,FALSE,FALSE
5,797572,797611,40,923.2,525.5,1067.6,504.6,3.79,"1112.jpg",797350,797571,FALSE,FALSE
5,797776,797821,46,1084.5,513,1080,279.6,6.02,"1112.jpg",797350,797571,FALSE,FALSE
5,797936,797957,22,1075.4,290.1,1086.7,238.1,1.36,"1112.jpg",797350,797571,FALSE,FALSE
5,798105,798115,11,1078.3,250.7,1075.1,234.2,0.43,"1112.jpg",797350,797571,FALSE,FALSE
5,798431,798482,52,1075.2,232.5,983.3,367.4,4.2,"1112.jpg",797350,797571,FALSE,FALSE
5,798805,798887,83,985.2,378.3,1112.3,842.2,12.37,"1112.jpg",797350,797571,FALSE,FALSE
5,799068,799108,41,1108.5,843,1301.3,714.5,5.91,"1112.jpg",797350,797571,FALSE,FALSE
5,799272,799293,22,1297.4,711.1,1256.7,717.8,1.05,"1112.jpg",797350,797571,FALSE,FALSE
